2019-01-05 22:07:00.773382,time,altitude,velocity,acceleration
2019-01-05 22:07:00.808822,0.0,0.0,0.0,0.0
2019-01-05 22:07:00.809055,0.04,0.0,0.0,24.716569602
2019-01-05 22:07:00.809204,0.08,0.0,0.988662784079,78.3203113879
2019-01-05 22:07:00.809344,0.12,0.0395465113632,4.1214752396,93.8713357388
2019-01-05 22:07:00.809477,0.16,0.204405520947,7.87632866915,88.8088549478
2019-01-05 22:07:00.809600,0.2,0.519458667713,11.4286828671,87.6001670355
2019-01-05 22:07:00.809715,0.24,0.976605982396,14.9326895485,87.9402140525
2019-01-05 22:07:00.809826,0.28,1.57391356433,18.4502981106,88.7801352692
2019-01-05 22:07:00.809978,0.32,2.31192548876,22.0015035213,90.3496772156
2019-01-05 22:07:00.810164,0.36,3.19198562961,25.61549061,91.1445091769
2019-01-05 22:07:00.810322,0.4,4.21660525401,29.261270977,90.9858397264
2019-01-05 22:07:00.810430,0.44,5.38705609309,32.9007045661,91.2140159849
2019-01-05 22:07:00.810531,0.48,6.70308427574,36.5492652055,91.2113358442
2019-01-05 22:07:00.810631,0.52,8.16505488396,40.1977186393,90.823340123
2019-01-05 22:07:00.810729,0.56,9.77296362953,43.8306522442,90.3696705438
2019-01-05 22:07:00.810825,0.6,11.5261897193,47.4454390659,90.1576277379
2019-01-05 22:07:00.810922,0.64,13.4240072819,51.0517441755,89.3565955662
2019-01-05 22:07:00.811017,0.68,15.466077049,54.6260079981,88.4777455906
2019-01-05 22:07:00.811111,0.72,17.6511173689,58.1651178217,87.629065525
2019-01-05 22:07:00.811271,0.76,19.9777220817,61.6702804427,86.5190564332
2019-01-05 22:07:00.811389,0.8,22.4445332995,65.1310427001,85.4278920935
2019-01-05 22:07:00.811489,0.84,25.0497750075,68.5481583838,83.2762576855
2019-01-05 22:07:00.811587,0.88,27.7917013428,71.8792086912,80.5274161307
2019-01-05 22:07:00.811683,0.92,30.6668696905,75.1003053364,78.1253557389
2019-01-05 22:07:00.811781,0.96,33.6708819039,78.225319566,76.0451985199
2019-01-05 22:07:00.811878,1.0,36.7998946866,81.2671275068,73.278499411
2019-01-05 22:07:00.811974,1.04,40.0505797868,84.1982674832,69.7158196923
2019-01-05 22:07:00.812070,1.08,43.4185104862,86.9869002709,66.4216059675
2019-01-05 22:07:00.812166,1.12,46.897986497,89.6437645096,62.9545839432
2019-01-05 22:07:00.812262,1.16,50.4837370774,92.1619478674,59.7168124966
2019-01-05 22:07:00.812357,1.2,54.1702149921,94.5506203672,57.0321880745
2019-01-05 22:07:00.812453,1.24,57.9522398068,96.8319078902,54.5322641517
2019-01-05 22:07:00.812549,1.28,61.8255161224,99.0131984563,51.8171755236
2019-01-05 22:07:00.812644,1.32,65.7860440606,101.085885477,49.4759854077
2019-01-05 22:07:00.812738,1.36,69.8294794797,103.064924894,46.7316988819
2019-01-05 22:07:00.812833,1.4,73.9520764755,104.934192849,41.2285814902
2019-01-05 22:07:00.812928,1.44,78.1494441894,106.583336108,29.0185906959
2019-01-05 22:07:00.813022,1.48,82.4127776337,107.744079736,6.31218255543
2019-01-05 22:07:00.813118,1.52,86.7225408232,107.996567038,-5.11707092927
2019-01-05 22:07:00.813213,1.56,91.0424035047,107.791884201,-11.232790283
2019-01-05 22:07:00.813309,1.6,95.3540788728,107.34257259,-14.2164801652
2019-01-05 22:07:00.813403,1.64,99.6477817764,106.773913383,-14.1762833871
2019-01-05 22:07:00.813499,1.68,103.918738312,106.206862048,-14.1256277207
2019-01-05 22:07:00.813594,1.72,108.167012794,105.641836939,-14.0747281924
2019-01-05 22:07:00.813688,1.76,112.392686271,105.078847811,-14.0238637753
2019-01-05 22:07:00.813784,1.8,116.595840184,104.51789326,-13.9731987899
2019-01-05 22:07:00.813878,1.84,120.776555914,103.958965309,-13.922689238
2019-01-05 22:07:00.813973,1.88,124.934914526,103.402057739,-13.8724867266
2019-01-05 22:07:00.814068,1.92,129.070996836,102.84715827,-13.8224796684
2019-01-05 22:07:00.814163,1.96,133.184883167,102.294259083,-13.7730932486
2019-01-05 22:07:00.814259,2.0,137.27665353,101.743335353,-13.7240290946
2019-01-05 22:07:00.814368,2.04,141.346386944,101.19437419,-13.6754506524
