Time,Altitude,Vertical velocity,Vertical acceleration
0,0,0,19.096
0.01,9.5478e-4,0.19096,100.46
0.02,0.0078885,1.1959,102.87
0.03,0.024993,2.2251,104.53
0.04,0.052472,3.271,105.13
0.05,0.09044,4.3228,104.65
0.06,0.1389,5.3698,104.17
0.07,0.19781,6.4121,103.7
0.08,0.26712,7.4496,103.21
0.09,0.34678,8.4822,102.73
0.1,0.43674,9.5101,102.25
0.11,0.53696,10.533,101.77
0.11949,0.64154,11.5,101.32
0.12819,0.74538,12.381,100.92
0.13627,0.84867,13.197,100.55
0.14384,0.95156,13.959,100.19
0.15101,1.0541,14.677,99.852
0.16175,1.2176,15.75,99.216
0.17787,1.4844,17.348,98.258
0.20205,1.9325,19.724,99.186
0.23832,2.7133,23.338,101.18
0.28832,4.0067,28.394,99.816
0.33832,5.5514,33.395,100.37
0.38832,7.3468,38.424,98.175
0.43832,9.3909,43.341,97.969
0.48832,11.681,48.248,98.36
0.53832,14.216,53.174,98.733
0.58832,16.998,58.119,98.937
0.63832,20.028,63.073,98.772
0.68832,23.305,68.018,98.572
0.73832,26.83,72.953,98.351
0.78832,30.6,77.876,97.975
0.83832,34.617,82.78,97.444
0.88832,38.878,87.656,96.889
0.93832,43.382,92.504,96.312
0.98832,48.127,97.323,95.713
1.0383,53.113,102.11,95.108
1.0883,58.338,106.87,94.594
1.1383,63.8,111.6,94.08
1.1883,69.497,116.31,93.542
1.2383,75.43,120.98,92.919
1.2883,81.595,125.63,91.954
1.3383,87.992,130.23,90.92
1.3883,94.617,134.77,89.864
1.4383,101.47,139.26,88.787
1.4883,108.54,143.7,87.705
1.5383,115.84,148.08,86.661
1.5883,123.35,152.41,85.599
1.6383,131.08,156.69,84.516
1.6883,139.02,160.91,83.414
1.7383,147.17,165.07,82.024
1.7883,155.52,169.17,80.137
1.8383,164.08,173.17,78.365
1.8883,172.84,177.08,77.563
1.9383,181.79,180.95,76.93
1.9883,190.93,184.79,73.877
2.0383,200.26,188.48,66.857
2.0883,209.77,191.81,57.418
2.1383,219.43,194.68,45.259
2.1883,229.22,196.93,35.704
2.2383,239.12,198.71,26.87
2.2883,249.08,200.05,20.457
2.3383,259.11,201.07,14.47
2.3883,269.18,201.8,8.648
2.4383,279.29,202.23,2.997
2.4883,289.4,202.38,-2.6074
2.5383,299.52,202.25,-8.1342
2.5883,309.62,201.84,-12.893
2.6383,319.69,201.2,-17.29
2.6883,329.73,200.34,-21.051
2.7383,339.72,199.3,-23.6
2.7883,349.66,198.12,-24.456
2.8383,359.53,196.91,-25.077
2.8883,369.35,195.66,-25.695
2.9383,379.1,194.38,-26.309
2.9883,388.79,193.07,-26.661
3.0383,398.41,191.75,-26.412
3.0883,407.96,190.43,-26.145
3.1383,417.45,189.13,-25.882
3.1883,426.87,187.84,-25.625
3.2383,436.23,186.57,-25.374
3.2883,445.53,185.31,-25.127
3.3383,454.77,184.06,-24.886
3.3883,463.94,182.82,-24.649
3.4383,473.05,181.59,-24.417
3.4883,482.1,180.38,-24.19
3.5383,491.08,179.17,-23.967
3.5883,500.01,177.98,-23.748
3.6383,508.88,176.8,-23.534
3.6883,517.69,175.63,-23.324
3.7383,526.45,174.46,-23.118
3.7883,535.14,173.31,-22.917
3.8383,543.78,172.17,-22.718
3.8883,552.36,171.04,-22.524
3.9383,560.88,169.92,-22.333
3.9883,569.35,168.81,-22.145
4.0383,577.76,167.71,-21.961
4.0883,586.12,166.61,-21.78
4.1383,594.42,165.53,-21.602
4.1883,602.67,164.45,-21.428
4.2383,610.87,163.38,-21.256
4.2883,619.01,162.33,-21.087
4.3383,627.1,161.28,-20.922
4.3883,635.14,160.23,-20.759
4.4383,643.13,159.2,-20.599
4.4883,651.06,158.17,-20.442
4.5383,658.94,157.16,-20.287
4.5883,666.78,156.15,-20.135
4.6383,674.56,155.14,-19.985
4.6883,682.29,154.15,-19.838
4.7383,689.97,153.16,-19.693
4.7883,697.61,152.18,-19.551
4.8383,705.19,151.2,-19.411
4.8883,712.73,150.24,-19.273
4.9383,720.21,149.28,-19.137
4.9883,727.65,148.32,-19.004
5.0383,735.05,147.38,-18.873
5.0883,742.39,146.44,-18.743
5.1383,749.69,145.5,-18.616
5.1883,756.94,144.57,-18.491
5.2383,764.15,143.65,-18.368
5.2883,771.31,142.74,-18.246
5.3383,778.42,141.83,-18.126
5.3883,785.49,140.92,-18.009
5.4383,792.51,140.03,-17.893
5.4883,799.49,139.13,-17.779
5.5383,806.43,138.25,-17.666
5.5883,813.32,137.37,-17.555
5.6383,820.16,136.49,-17.446
5.6883,826.97,135.62,-17.338
5.7383,833.73,134.76,-17.232
5.7883,840.44,133.9,-17.128
5.8383,847.12,133.05,-17.025
5.8883,853.75,132.2,-16.924
5.9383,860.34,131.35,-16.824
5.9883,866.88,130.52,-16.725
6.0383,873.39,129.68,-16.628
6.0883,879.85,128.85,-16.532
6.1383,886.27,128.03,-16.438
6.1883,892.65,127.21,-16.345
6.2383,898.99,126.39,-16.253
6.2883,905.29,125.58,-16.163
6.3383,911.55,124.78,-16.074
6.3883,917.77,123.98,-15.986
6.4383,923.95,123.18,-15.899
6.4883,930.09,122.39,-15.813
6.5383,936.19,121.6,-15.729
6.5883,942.25,120.81,-15.646
6.6383,948.27,120.03,-15.564
6.6883,954.25,119.26,-15.483
6.7383,960.2,118.48,-15.403
6.7883,966.1,117.72,-15.324
6.8383,971.97,116.95,-15.246
6.8883,977.8,116.19,-15.17
6.9383,983.59,115.44,-15.094
6.9883,989.34,114.68,-15.019
7.0383,995.06,113.93,-14.946
7.0883,1000.7,113.19,-14.873
7.1383,1006.4,112.45,-14.801
7.1883,1012,111.71,-14.731
7.2383,1017.5,110.97,-14.661
7.2883,1023.1,110.24,-14.592
7.3383,1028.6,109.51,-14.524
7.3883,1034,108.79,-14.457
7.4383,1039.4,108.07,-14.391
7.4883,1044.8,107.35,-14.326
7.5383,1050.2,106.64,-14.261
7.5883,1055.5,105.92,-14.197
7.6383,1060.8,105.22,-14.135
7.6883,1066,104.51,-14.073
7.7383,1071.2,103.81,-14.011
7.7883,1076.4,103.11,-13.951
7.8383,1081.5,102.41,-13.891
7.8883,1086.6,101.72,-13.832
7.9383,1091.7,101.03,-13.774
7.9883,1096.7,100.34,-13.716
8.0383,1101.7,99.658,-13.659
8.0883,1106.7,98.977,-13.603
8.1383,1111.6,98.298,-13.548
8.1883,1116.5,97.622,-13.493
8.2383,1121.4,96.949,-13.439
8.2883,1126.2,96.278,-13.386
8.3383,1131,95.61,-13.333
8.3883,1135.8,94.945,-13.281
8.4383,1140.5,94.282,-13.229
8.4883,1145.2,93.622,-13.179
8.5383,1149.9,92.964,-13.129
8.5883,1154.5,92.309,-13.079
8.6383,1159.1,91.656,-13.03
8.6883,1163.7,91.006,-12.982
8.7383,1168.2,90.358,-12.934
8.7883,1172.7,89.713,-12.887
8.8383,1177.2,89.07,-12.84
8.8883,1181.6,88.429,-12.794
8.9383,1186,87.79,-12.748
8.9883,1190.4,87.154,-12.703
9.0383,1194.8,86.52,-12.659
9.0883,1199.1,85.888,-12.615
9.1383,1203.3,85.258,-12.572
9.1883,1207.6,84.631,-12.529
9.2383,1211.8,84.005,-12.487
9.2883,1216,83.382,-12.445
9.3383,1220.1,82.761,-12.404
9.3883,1224.3,82.142,-12.363
9.4383,1228.4,81.525,-12.323
9.4883,1232.4,80.909,-12.283
9.5383,1236.4,80.296,-12.243
9.5883,1240.4,79.685,-12.204
9.6383,1244.4,79.076,-12.166
9.6883,1248.4,78.468,-12.128
9.7383,1252.3,77.863,-12.091
9.7883,1256.1,77.259,-12.054
9.8383,1260,76.658,-12.017
9.8883,1263.8,76.058,-11.981
9.9383,1267.6,75.46,-11.945
9.9883,1271.4,74.863,-11.91
10.038,1275.1,74.269,-11.875
10.088,1278.8,73.676,-11.84
10.138,1282.4,73.085,-11.806
10.188,1286.1,72.495,-11.773
10.238,1289.7,71.907,-11.739
10.288,1293.3,71.321,-11.707
10.338,1296.8,70.737,-11.674
10.388,1300.4,70.154,-11.642
10.438,1303.8,69.572,-11.61
10.488,1307.3,68.993,-11.579
10.538,1310.7,68.414,-11.548
10.588,1314.2,67.838,-11.518
10.638,1317.5,67.263,-11.487
10.688,1320.9,66.689,-11.458
10.738,1324.2,66.117,-11.428
10.788,1327.5,65.546,-11.399
10.838,1330.8,64.977,-11.37
10.888,1334,64.409,-11.342
10.938,1337.2,63.843,-11.314
10.988,1340.4,63.278,-11.286
11.038,1343.5,62.714,-11.259
11.088,1346.6,62.152,-11.232
11.138,1349.7,61.591,-11.205
11.188,1352.8,61.031,-11.179
11.238,1355.8,60.473,-11.153
11.288,1358.8,59.916,-11.127
11.338,1361.8,59.36,-11.102
11.388,1364.8,58.806,-11.077
11.438,1367.7,58.253,-11.052
11.488,1370.6,57.701,-11.028
11.538,1373.5,57.15,-11.003
11.588,1376.3,56.6,-10.98
11.638,1379.1,56.052,-10.956
11.688,1381.9,55.505,-10.933
