PerfectFlite SLCF
Firmware: 1.0
Software: 1.16
Serial Number: 5241
Apogee: 5004' AGL
Ground Elevation: 1879' MSL
NumSamps: 2544
Flight Number: 11
Main Setting: 700' AGL
Apogee Delay: 0 Seconds
Drogue At: 17.75 Seconds
Main At: 91.20 Seconds
Max Drogue Current: 4 Amps
Max Main Current: 1 Amps

Time, Altitude, Velocity, Temperature, Voltage
0.00, 1, 0, 85.35, 9.50
0.05, 1, 7, 85.37, 9.50
0.10, 2, -3, 85.35, 9.50
0.15, 1, 4, 85.37, 9.50
0.20, 1, 3, 85.39, 9.50
0.25, 2, 4, 85.39, 9.50
0.30, 2, 7, 85.39, 9.50
0.35, 2, 11, 85.39, 9.50
0.40, 3, 16, 85.35, 9.50
0.45, -34, 24, 85.39, 9.50
0.50, 3, 33, 85.39, 9.50
0.55, 9, 41, 85.39, 9.50
0.60, 12, 50, 85.39, 9.50
0.65, 12, 59, 85.39, 9.50
0.70, 15, 70, 85.39, 9.50
0.75, 20, 85, 85.39, 9.50
0.80, 22, 103, 85.39, 9.50
0.85, 31, 122, 85.39, 9.50
0.90, 39, 142, 85.39, 9.50
0.95, 46, 162, 85.39, 9.50
1.00, 55, 183, 85.39, 9.50
1.05, 63, 207, 85.39, 9.50
1.10, 75, 235, 85.39, 9.50
1.15, 88, 262, 85.39, 9.50
1.20, 104, 285, 85.39, 9.50
1.25, 122, 297, 85.39, 9.50
1.30, 139, 297, 85.39, 9.50
1.35, 153, 286, 85.41, 9.50
1.40, 169, 269, 85.41, 9.50
1.45, 179, 259, 85.41, 9.50
1.50, 186, 260, 85.39, 9.50
1.55, 197, 274, 85.39, 9.50
1.60, 212, 296, 85.39, 9.50
1.65, 232, 317, 85.39, 9.50
1.70, 255, 331, 85.39, 9.50
1.75, 271, 338, 85.39, 9.50
1.80, 284, 342, 85.41, 9.50
1.85, 298, 347, 85.39, 9.50
1.90, 316, 359, 85.39, 9.50
1.95, 336, 376, 85.39, 9.40
2.00, 359, 394, 85.39, 9.40
2.05, 379, 414, 85.39, 9.50
2.10, 397, 433, 85.39, 9.50
2.15, 418, 449, 85.39, 9.50
2.20, 447, 464, 85.39, 9.50
2.25, 471, 476, 85.41, 9.50
2.30, 494, 484, 85.41, 9.50
2.35, 520, 491, 85.39, 9.50
2.40, 540, 500, 85.42, 9.50
2.45, 568, 511, 85.41, 9.50
2.50, 595, 526, 85.39, 9.40
2.55, 620, 546, 85.42, 9.50
2.60, 649, 568, 85.42, 9.50
2.65, 678, 590, 85.42, 9.50
2.70, 711, 613, 85.42, 9.50
2.75, 737, 634, 85.42, 9.50
2.80, 777, 650, 85.42, 9.50
2.85, 809, 661, 85.44, 9.50
2.90, 843, 667, 85.42, 9.50
2.95, 876, 669, 85.42, 9.50
3.00, 909, 671, 85.42, 9.50
3.05, 942, 673, 85.41, 9.50
3.10, 976, 672, 85.42, 9.50
3.15, 1011, 670, 85.41, 9.40
3.20, 1045, 664, 85.41, 9.50
3.25, 1080, 655, 85.39, 9.50
3.30, 1109, 644, 85.41, 9.50
3.35, 1139, 635, 85.39, 9.50
3.40, 1171, 627, 85.41, 9.50
3.45, 1205, 623, 85.39, 9.50
3.50, 1234, 620, 85.39, 9.50
3.55, 1264, 618, 85.39, 9.50
3.60, 1294, 615, 85.39, 9.40
3.65, 1327, 613, 85.39, 9.50
3.70, 1358, 609, 85.39, 9.50
3.75, 1387, 604, 85.39, 9.50
3.80, 1416, 599, 85.39, 9.50
3.85, 1447, 593, 85.39, 9.50
3.90, 1478, 588, 85.37, 9.50
3.95, 1503, 584, 85.35, 9.40
4.00, 1534, 579, 85.37, 9.50
4.05, 1564, 574, 85.37, 9.50
4.10, 1592, 568, 85.39, 9.50
4.15, 1620, 563, 85.39, 9.50
4.20, 1646, 557, 85.37, 9.40
4.25, 1675, 552, 85.37, 9.50
4.30, 1702, 548, 85.35, 9.50
4.35, 1730, 545, 85.37, 9.50
4.40, 1758, 542, 85.37, 9.50
4.45, 1781, 541, 85.37, 9.50
4.50, 1810, 539, 85.35, 9.50
4.55, 1838, 537, 85.35, 9.50
4.60, 1865, 535, 85.35, 9.50
4.65, 1890, 532, 85.35, 9.50
4.70, 1917, 528, 85.35, 9.50
4.75, 1944, 523, 85.35, 9.50
4.80, 1970, 517, 85.35, 9.50
4.85, 1995, 512, 85.35, 9.50
4.90, 2020, 506, 85.35, 9.50
4.95, 2045, 502, 85.35, 9.50
5.00, 2070, 500, 85.35, 9.50
5.05, 2095, 499, 85.35, 9.50
5.10, 2119, 500, 85.33, 9.50
5.15, 2144, 500, 85.35, 9.50
5.20, 2170, 500, 85.35, 9.50
5.25, 2196, 497, 85.35, 9.50
5.30, 2220, 493, 85.35, 9.50
5.35, 2245, 488, 85.33, 9.50
5.40, 2268, 483, 85.33, 9.50
5.45, 2291, 480, 85.35, 9.50
5.50, 2315, 476, 85.33, 9.50
5.55, 2341, 473, 85.33, 9.50
5.60, 2364, 469, 85.35, 9.50
5.65, 2386, 465, 85.33, 9.50
5.70, 2410, 462, 85.33, 9.50
5.75, 2431, 462, 85.35, 9.50
5.80, 2454, 461, 85.33, 9.50
5.85, 2479, 460, 85.33, 9.50
5.90, 2503, 458, 85.33, 9.50
5.95, 2524, 454, 85.33, 9.50
6.00, 2548, 449, 85.33, 9.50
6.05, 2568, 445, 85.33, 9.50
6.10, 2590, 442, 85.33, 9.50
6.15, 2613, 440, 85.33, 9.50
6.20, 2635, 438, 85.33, 9.50
6.25, 2658, 436, 85.33, 9.50
6.30, 2678, 433, 85.33, 9.50
6.35, 2699, 430, 85.33, 9.50
6.40, 2721, 426, 85.33, 9.50
6.45, 2743, 422, 85.33, 9.50
6.50, 2765, 418, 85.33, 9.50
6.55, 2783, 414, 85.33, 9.50
6.60, 2804, 411, 85.33, 9.50
6.65, 2824, 410, 85.33, 9.50
6.70, 2845, 408, 85.33, 9.50
6.75, 2867, 406, 85.33, 9.50
6.80, 2886, 405, 85.33, 9.50
6.85, 2905, 403, 85.33, 9.50
6.90, 2926, 401, 85.33, 9.50
6.95, 2946, 401, 85.33, 9.50
7.00, 2965, 399, 85.33, 9.50
7.05, 2987, 396, 85.33, 9.50
7.10, 3007, 394, 85.33, 9.50
7.15, 3024, 390, 85.33, 9.50
7.20, 3045, 387, 85.33, 9.50
7.25, 3063, 387, 85.33, 9.50
7.30, 3082, 388, 85.33, 9.50
7.35, 3103, 387, 85.33, 9.50
7.40, 3122, 386, 85.33, 9.50
7.45, 3141, 382, 85.33, 9.50
7.50, 3161, 376, 85.33, 9.50
7.55, 3180, 369, 85.33, 9.50
7.60, 3196, 364, 85.33, 9.40
7.65, 3214, 361, 85.33, 9.50
7.70, 3231, 360, 85.32, 9.50
7.75, 3250, 358, 85.33, 9.50
7.80, 3269, 355, 85.33, 9.50
7.85, 3288, 350, 85.33, 9.40
7.90, 3304, 345, 85.33, 9.50
7.95, 3319, 343, 85.33, 9.50
8.00, 3334, 343, 85.33, 9.50
8.05, 3354, 346, 85.33, 9.50
8.10, 3372, 349, 85.33, 9.50
8.15, 3390, 350, 85.30, 9.50
8.20, 3407, 348, 85.32, 9.40
8.25, 3425, 344, 85.33, 9.50
8.30, 3441, 338, 85.33, 9.50
8.35, 3458, 333, 85.30, 9.50
8.40, 3474, 329, 85.32, 9.50
8.45, 3490, 328, 85.32, 9.50
8.50, 3506, 327, 85.32, 9.50
8.55, 3523, 328, 85.30, 9.50
8.60, 3539, 328, 85.32, 9.50
8.65, 3556, 327, 85.30, 9.50
8.70, 3573, 324, 85.30, 9.50
8.75, 3588, 320, 85.30, 9.50
8.80, 3605, 315, 85.30, 9.50
8.85, 3619, 311, 85.30, 9.50
8.90, 3634, 309, 85.32, 9.50
8.95, 3650, 307, 85.30, 9.50
9.00, 3665, 306, 85.30, 9.50
9.05, 3682, 305, 85.30, 9.50
9.10, 3695, 302, 85.32, 9.50
9.15, 3711, 299, 85.30, 9.50
9.20, 3726, 296, 85.30, 9.50
9.25, 3740, 293, 85.30, 9.50
9.30, 3755, 291, 85.30, 9.50
9.35, 3769, 290, 85.30, 9.50
9.40, 3783, 291, 85.30, 9.50
9.45, 3797, 292, 85.30, 9.50
9.50, 3813, 294, 85.30, 9.40
9.55, 3827, 294, 85.30, 9.40
9.60, 3844, 291, 85.30, 9.50
9.65, 3857, 288, 85.32, 9.40
9.70, 3871, 283, 85.30, 9.50
9.75, 3884, 279, 85.32, 9.50
9.80, 3899, 275, 85.30, 9.40
9.85, 3913, 272, 85.30, 9.50
9.90, 3925, 270, 85.32, 9.50
9.95, 3939, 268, 85.30, 9.50
10.00, 3952, 266, 85.30, 9.50
10.05, 3965, 265, 85.30, 9.50
10.10, 3979, 263, 85.30, 9.50
10.15, 3992, 261, 85.30, 9.50
10.20, 4005, 259, 85.32, 9.50
10.25, 4018, 257, 85.30, 9.50
10.30, 4029, 255, 85.32, 9.50
10.35, 4043, 254, 85.30, 9.50
10.40, 4056, 253, 85.30, 9.50
10.45, 4068, 252, 85.30, 9.50
10.50, 4081, 251, 85.30, 9.50
10.55, 4092, 250, 85.32, 9.50
10.60, 4106, 250, 85.30, 9.50
10.65, 4118, 248, 85.30, 9.50
10.70, 4131, 245, 85.30, 9.50
10.75, 4143, 242, 85.30, 9.50
10.80, 4154, 238, 85.30, 9.50
10.85, 4167, 235, 85.30, 9.50
10.90, 4177, 233, 85.30, 9.50
10.95, 4189, 232, 85.30, 9.50
11.00, 4201, 230, 85.30, 9.50
11.05, 4213, 228, 85.30, 9.50
11.10, 4224, 227, 85.30, 9.50
11.15, 4234, 225, 85.30, 9.50
11.20, 4246, 225, 85.30, 9.50
11.25, 4257, 224, 85.30, 9.50
11.30, 4268, 224, 85.30, 9.50
11.35, 4281, 222, 85.30, 9.50
11.40, 4290, 220, 85.30, 9.50
11.45, 4302, 218, 85.30, 9.50
11.50, 4312, 216, 85.30, 9.50
11.55, 4324, 214, 85.30, 9.50
11.60, 4332, 211, 85.30, 9.50
11.65, 4345, 208, 85.30, 9.50
11.70, 4355, 204, 85.30, 9.50
11.75, 4365, 201, 85.30, 9.50
11.80, 4373, 198, 85.30, 9.50
11.85, 4385, 196, 85.32, 9.50
11.90, 4392, 196, 85.30, 9.50
11.95, 4404, 196, 85.30, 9.50
12.00, 4413, 196, 85.30, 9.50
12.05, 4424, 195, 85.30, 9.50
12.10, 4433, 192, 85.30, 9.50
12.15, 4442, 189, 85.32, 9.40
12.20, 4452, 187, 85.30, 9.50
12.25, 4460, 186, 85.30, 9.50
12.30, 4470, 186, 85.30, 9.40
12.35, 4479, 186, 85.30, 9.50
12.40, 4488, 188, 85.30, 9.50
12.45, 4498, 188, 85.30, 9.50
12.50, 4509, 186, 85.30, 9.50
12.55, 4516, 184, 85.30, 9.50
12.60, 4526, 180, 85.30, 9.50
12.65, 4535, 177, 85.30, 9.50
12.70, 4544, 173, 85.30, 9.50
12.75, 4551, 170, 85.30, 9.40
12.80, 4560, 167, 85.30, 9.50
12.85, 4568, 165, 85.30, 9.50
12.90, 4578, 161, 85.28, 9.50
12.95, 4584, 159, 85.28, 9.50
13.00, 4592, 156, 85.30, 9.50
13.05, 4599, 154, 85.30, 9.50
13.10, 4608, 154, 85.30, 9.50
13.15, 4615, 155, 85.30, 9.50
13.20, 4622, 156, 85.30, 9.50
13.25, 4630, 157, 85.30, 9.50
13.30, 4640, 157, 85.32, 9.50
13.35, 4647, 155, 85.30, 9.50
13.40, 4654, 152, 85.30, 9.50
13.45, 4662, 148, 85.30, 9.50
13.50, 4669, 145, 85.30, 9.50
13.55, 4675, 144, 85.30, 9.50
13.60, 4683, 143, 85.30, 9.50
13.65, 4691, 142, 85.30, 9.50
13.70, 4696, 141, 85.30, 9.50
13.75, 4705, 138, 85.28, 9.50
13.80, 4711, 135, 85.30, 9.50
13.85, 4719, 132, 85.30, 9.50
13.90, 4723, 130, 85.30, 9.50
13.95, 4730, 128, 85.30, 9.50
14.00, 4736, 128, 85.30, 9.50
14.05, 4743, 128, 85.30, 9.50
14.10, 4750, 126, 85.30, 9.50
