Time,Altitude,Vertical velocity,Vertical acceleration
0,0,0,19.096
0.01,9.5478e-4,0.19096,100.46
0.02,0.0078885,1.1959,102.87
0.03,0.024993,2.2251,104.53
0.04,0.052472,3.271,105.13
0.05,0.090441,4.3228,104.65
0.06,0.1389,5.3698,104.17
0.07,0.19781,6.412,103.69
0.08,0.26712,7.4494,103.2
0.09,0.34678,8.482,102.72
0.1,0.43673,9.5097,102.23
0.11,0.53694,10.532,101.75
0.11949,0.64153,11.499,101.3
0.12819,0.74536,12.381,100.9
0.13627,0.84866,13.196,100.52
0.14385,0.95154,13.958,100.16
0.15101,1.0541,14.676,99.818
0.16176,1.2176,15.748,99.179
0.17788,1.4843,17.346,98.218
0.20206,1.9325,19.721,99.143
0.23833,2.7132,23.334,101.13
0.28833,4.0063,28.388,99.769
0.33833,5.5506,33.386,100.32
0.38833,7.3455,38.413,98.137
0.43833,9.389,43.329,97.942
0.48833,11.678,48.234,98.341
0.53833,14.213,53.16,98.716
0.58833,16.994,58.103,98.919
0.63833,20.023,63.056,98.746
0.68833,23.3,67.999,98.531
0.73833,26.823,72.932,98.289
0.78833,30.593,77.851,97.873
0.83833,34.608,82.748,97.279
0.88833,38.867,87.614,96.63
0.93833,43.368,92.447,95.947
0.98833,48.111,97.245,95.24
1.0383,53.092,102.01,94.533
1.0883,58.31,106.73,93.946
1.1383,63.765,111.43,93.328
1.1883,69.453,116.1,92.769
1.2383,75.374,120.74,92.198
1.2883,81.526,125.35,91.339
1.3383,87.908,129.92,90.421
1.3883,94.517,134.44,89.508
1.4383,101.35,138.92,88.563
1.4883,108.41,143.35,87.571
1.5383,115.68,147.72,86.559
1.5883,123.18,152.05,85.518
1.6383,130.89,156.32,84.415
1.6883,138.81,160.53,83.235
1.7383,146.94,164.69,81.709
1.7883,155.28,168.76,79.714
1.8383,163.81,172.74,77.873
1.8883,172.55,176.63,77.054
1.9383,181.48,180.48,76.488
1.9883,190.6,184.29,73.528
2.0383,199.9,187.96,66.59
2.0883,209.38,191.29,57.244
2.1383,219.02,194.14,45.139
2.1883,228.78,196.39,35.625
2.2383,238.65,198.17,26.791
2.2883,248.59,199.5,20.336
2.3383,258.59,200.52,14.343
2.3883,268.63,201.23,8.5343
2.4383,278.71,201.66,2.9016
2.4883,288.79,201.8,-2.6607
2.5383,298.88,201.67,-8.1672
2.5883,308.95,201.27,-12.928
2.6383,319,200.62,-17.326
2.6883,329.01,199.76,-21.054
2.7383,338.97,198.71,-23.607
2.7883,348.88,197.54,-24.45
2.8383,358.72,196.32,-25.047
2.8883,368.51,195.08,-25.662
2.9383,378.23,193.8,-26.264
2.9883,387.89,192.5,-26.6
3.0383,397.48,191.17,-26.319
3.0883,407.01,189.87,-26.048
3.1383,416.47,188.57,-25.763
3.1883,425.86,187.29,-25.541
3.2383,435.2,186.02,-25.352
3.2883,444.46,184.75,-25.135
3.3383,453.67,183.5,-24.92
3.3883,462.81,182.26,-24.695
3.4383,471.9,181.03,-24.447
3.4883,480.92,179.82,-24.175
3.5383,489.88,178.61,-23.928
3.5883,498.78,177.42,-23.7
3.6383,507.62,176.24,-23.472
3.6883,516.4,175.08,-23.251
3.7383,525.13,173.92,-23.084
3.7883,533.8,172.77,-22.905
3.8383,542.41,171.63,-22.678
3.8883,550.96,170.5,-22.455
3.9383,559.46,169.38,-22.259
3.9883,567.9,168.27,-22.102
4.0383,576.28,167.17,-21.945
4.0883,584.62,166.08,-21.779
4.1383,592.89,164.99,-21.613
4.1883,601.12,163.92,-21.419
4.2383,609.28,162.85,-21.23
4.2883,617.4,161.8,-21.013
4.3383,625.46,160.75,-20.836
4.3883,633.48,159.71,-20.703
4.4383,641.44,158.68,-20.548
4.4883,649.34,157.66,-20.425
4.5383,657.2,156.64,-20.311
4.5883,665.01,155.63,-20.165
4.6383,672.76,154.62,-20.022
4.6883,680.47,153.62,-19.875
4.7383,688.13,152.63,-19.696
4.7883,695.73,151.65,-19.56
4.8383,703.29,150.68,-19.405
4.8883,710.8,149.71,-19.254
4.9383,718.26,148.75,-19.082
4.9883,725.68,147.8,-18.936
5.0383,733.04,146.86,-18.816
5.0883,740.36,145.92,-18.693
5.1383,747.64,144.99,-18.541
5.1883,754.86,144.07,-18.433
5.2383,762.04,143.15,-18.334
5.2883,769.18,142.23,-18.233
5.3383,776.27,141.33,-18.124
5.3883,783.31,140.42,-18.05
5.4383,790.31,139.52,-17.971
5.4883,797.26,138.62,-17.888
5.5383,804.17,137.73,-17.731
5.5883,811.04,136.85,-17.584
5.6383,817.86,135.97,-17.469
5.6883,824.63,135.1,-17.355
5.7383,831.37,134.24,-17.253
5.7883,838.06,133.38,-17.105
5.8383,844.71,132.53,-16.985
5.8883,851.31,131.68,-16.846
5.9383,857.87,130.84,-16.716
5.9883,864.39,130.01,-16.576
6.0383,870.87,129.18,-16.486
6.0883,877.31,128.36,-16.412
6.1383,883.71,127.54,-16.343
6.1883,890.07,126.73,-16.319
6.2383,896.38,125.91,-16.249
6.2883,902.66,125.1,-16.189
6.3383,908.89,124.29,-16.137
6.3883,915.09,123.49,-16.075
6.4383,921.24,122.69,-15.984
6.4883,927.36,121.89,-15.901
6.5383,933.43,121.1,-15.81
6.5883,939.47,120.31,-15.711
6.6383,945.46,119.52,-15.611
6.6883,951.42,118.75,-15.486
6.7383,957.34,117.98,-15.376
6.7883,963.22,117.21,-15.29
6.8383,969.06,116.45,-15.18
6.8883,974.86,115.69,-15.079
6.9383,980.63,114.94,-15.024
6.9883,986.36,114.19,-14.972
7.0383,992.05,113.44,-14.911
7.0883,997.7,112.7,-14.859
7.1383,1003.3,111.96,-14.823
7.1883,1008.9,111.22,-14.767
7.2383,1014.4,110.48,-14.689
7.2883,1019.9,109.75,-14.6
7.3383,1025.4,109.02,-14.515
7.3883,1030.8,108.29,-14.438
7.4383,1036.2,107.58,-14.347
7.4883,1041.6,106.86,-14.27
7.5383,1046.9,106.15,-14.208
7.5883,1052.2,105.44,-14.152
7.6383,1057.5,104.73,-14.111
7.6883,1062.7,104.03,-14.059
7.7383,1067.9,103.33,-14.004
7.7883,1073,102.63,-13.962
7.8383,1078.1,101.93,-13.914
7.8883,1083.2,101.24,-13.868
7.9383,1088.3,100.54,-13.813
7.9883,1093.3,99.855,-13.733
8.0383,1098.2,99.171,-13.644
8.0883,1103.2,98.49,-13.603
8.1383,1108.1,97.812,-13.507
8.1883,1113,97.138,-13.441
8.2383,1117.8,96.468,-13.383
8.2883,1122.6,95.8,-13.345
8.3383,1127.4,95.133,-13.295
8.3883,1132.1,94.469,-13.274
8.4383,1136.8,93.806,-13.242
8.4883,1141.5,93.146,-13.181
8.5383,1146.2,92.488,-13.13
8.5883,1150.8,91.833,-13.063
8.6383,1155.3,91.181,-13.033
8.6883,1159.9,90.53,-12.998
8.7383,1164.4,89.881,-12.95
8.7883,1168.9,89.235,-12.906
8.8383,1173.3,88.591,-12.871
8.8883,1177.7,87.948,-12.828
8.9383,1182.1,87.307,-12.806
8.9883,1186.5,86.668,-12.75
9.0383,1190.8,86.032,-12.71
9.0883,1195.1,85.398,-12.651
9.1383,1199.3,84.767,-12.589
9.1883,1203.5,84.139,-12.523
9.2383,1207.7,83.514,-12.462
9.2883,1211.9,82.892,-12.433
9.3383,1216,82.272,-12.369
9.3883,1220.1,81.655,-12.299
9.4383,1224.2,81.041,-12.259
9.4883,1228.2,80.429,-12.218
9.5383,1232.2,79.82,-12.176
9.5883,1236.2,79.211,-12.15
9.6383,1240.1,78.605,-12.125
9.6883,1244.1,77.999,-12.112
9.7383,1247.9,77.394,-12.073
9.7883,1251.8,76.791,-12.042
9.8383,1255.6,76.19,-12.012
9.8883,1259.4,75.59,-11.993
9.9383,1263.2,74.991,-11.966
9.9883,1266.9,74.393,-11.945
10.038,1270.6,73.796,-11.932
10.088,1274.3,73.201,-11.873
10.138,1277.9,72.608,-11.839
10.188,1281.6,72.016,-11.832
10.238,1285.1,71.426,-11.787
10.288,1288.7,70.838,-11.74
10.338,1292.2,70.252,-11.691
10.388,1295.7,69.668,-11.652
10.438,1299.2,69.086,-11.632
10.488,1302.6,68.506,-11.586
10.538,1306,67.928,-11.537
10.588,1309.4,67.352,-11.496
10.638,1312.8,66.778,-11.446
10.688,1316.1,66.207,-11.388
10.738,1319.4,65.639,-11.354
10.788,1322.7,65.071,-11.347
10.838,1325.9,64.504,-11.332
10.888,1329.1,63.938,-11.326
10.938,1332.3,63.372,-11.291
10.988,1335.5,62.809,-11.256
11.038,1338.6,62.247,-11.234
11.088,1341.7,61.685,-11.217
11.138,1344.8,61.125,-11.19
11.188,1347.8,60.567,-11.142
11.238,1350.8,60.01,-11.12
11.288,1353.8,59.455,-11.115
11.338,1356.8,58.899,-11.102
11.388,1359.7,58.344,-11.081
11.438,1362.6,57.791,-11.048
11.488,1365.5,57.239,-11.025
11.538,1368.3,56.688,-11.03
11.588,1371.1,56.137,-11.015
11.638,1373.9,55.587,-10.978
11.688,1376.7,55.039,-10.951
