#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,accel_speed,baro_speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 3318, 5, null,    -0.14, 3,   boost,   35.19,  93984.00,  629.83,   22.62,   47.61,   47.61, 18.0, 0.00, 9.02, 9.02
6, 3318, 5, null,    -0.13, 3,   boost,   37.04,  93981.00,  630.10,   22.89,   48.31,   48.31, 18.0, 0.00, 9.00, 9.02
6, 3318, 5, null,    -0.12, 3,   boost,   38.95,  93969.00,  631.16,   23.95,   49.02,   49.02, 18.0, 0.00, 9.02, 9.03
6, 3318, 5, null,    -0.11, 3,   boost,   40.92,  93963.00,  631.69,   24.48,   49.74,   49.74, 18.0, 0.00, 9.02, 9.02
6, 3318, 5, null,    -0.10, 3,   boost,   42.96,  93962.00,  631.78,   24.57,   50.47,   50.47, 18.0, 0.00, 9.00, 9.02
6, 3318, 5, null,    -0.09, 3,   boost,   45.05,  93953.00,  632.57,   25.37,   51.20,   51.20, 18.0, 0.00, 9.00, 9.02
6, 3318, 5, null,    -0.08, 3,   boost,   47.20,  93946.00,  633.19,   25.99,   51.95,   51.95, 18.0, 0.00, 9.02, 9.02
6, 3318, 5, null,    -0.07, 3,   boost,   49.39,  93941.00,  633.64,   26.43,   52.70,   52.70, 18.0, 0.00, 9.00, 9.02
6, 3318, 5, null,    -0.06, 3,   boost,   51.63,  93929.00,  634.70,   27.49,   53.46,   53.46, 18.0, 0.00, 9.00, 9.00
6, 3318, 5, null,    -0.05, 3,   boost,   53.91,  93928.00,  634.79,   27.58,   54.23,   54.23, 18.0, 0.00, 9.00, 9.00
6, 3318, 5, null,    -0.04, 3,   boost,   56.21,  93915.00,  635.94,   28.73,   55.01,   55.01, 18.0, 0.00, 9.02, 9.02
6, 3318, 5, null,    -0.03, 3,   boost,   58.53,  93906.00,  636.73,   29.53,   55.79,   55.79, 18.0, 0.00, 9.02, 9.02
6, 3318, 5, null,    -0.02, 3,   boost,   60.86,  93890.00,  638.15,   30.94,   56.58,   56.58, 18.0, 0.00, 9.02, 9.02
6, 3318, 5, null,    -0.01, 3,   boost,   63.19,  93879.00,  639.12,   31.92,   57.38,   57.38, 18.0, 0.00, 9.00, 9.03
6, 3318, 5, null,     0.00, 3,   boost,   65.51,  93866.00,  640.28,   33.07,   58.19,   58.19, 18.0, 0.00, 9.02, 9.00
6, 3318, 5, null,     0.00, 3,   boost,   65.51,  93866.00,  640.28,   33.07,   58.19,   58.19, 18.0, 0.00, 9.02, 9.00
6, 3318, 5, null,     0.00, 3,   boost,   65.51,  93866.00,  640.28,   33.07,   58.19,   58.19, 18.0, 0.00, 9.02, 9.00
6, 3318, 5, null,     0.00, 3,   boost,   65.51,  93866.00,  640.28,   33.07,   58.19,   58.19, 18.0, 0.00, 9.02, 9.00
6, 3318, 5, null,     0.00, 3,   boost,   65.51,  93866.00,  640.28,   33.07,   58.19,   58.19, 18.0, 0.00, 9.02, 9.00
6, 3318, 5, null,     0.00, 3,   boost,   65.51,  93866.00,  640.28,   33.07,   58.19,   58.19, 18.0, 0.00, 9.02, 9.00
6, 3318, 5, null,     0.00, 3,   boost,   65.51,  93866.00,  640.28,   33.07,   58.19,   58.19, 18.0, 0.00, 9.02, 9.00
6, 3318, 5, null,     0.00, 3,   boost,   65.51,  93866.00,  640.28,   33.07,   58.19,   58.19, 18.0, 0.00, 9.02, 9.00
6, 3318, 5, null,     0.00, 3,   boost,   65.51,  93866.00,  640.28,   33.07,   58.19,   58.19, 18.0, 0.00, 9.02, 9.00
6, 3318, 5, null,     0.00, 3,   boost,   65.51,  93866.00,  640.28,   33.07,   58.19,   58.19, 18.0, 0.00, 9.02, 9.00
6, 3318, 5, null,     0.00, 3,   boost,   65.51,  93866.00,  640.28,   33.07,   58.19,   58.19, 18.0, 0.00, 9.02, 9.00
6, 3318, 5, null,     0.00, 3,   boost,   65.51,  93866.00,  640.28,   33.07,   58.19,   58.19, 18.0, 0.00, 9.02, 9.00
6, 3318, 5, null,     0.00, 3,   boost,   65.51,  93866.00,  640.28,   33.07,   58.19,   58.19, 18.0, 0.00, 9.02, 9.00
6, 3318, 5, null,     0.00, 3,   boost,   65.51,  93866.00,  640.28,   33.07,   58.19,   58.19, 18.0, 0.00, 9.02, 9.00
6, 3318, 5, null,     0.00, 3,   boost,   65.51,  93866.00,  640.28,   33.07,   58.19,   58.19, 18.0, 0.00, 9.02, 9.00
6, 3318, 5, null,     0.00, 3,   boost,   65.51,  93866.00,  640.28,   33.07,   58.19,   58.19, 18.0, 0.00, 9.02, 9.00
6, 3318, 5, null,     0.00, 3,   boost,   65.51,  93866.00,  640.28,   33.07,   58.19,   58.19, 18.0, 0.00, 9.02, 9.00
6, 3318, 5, null,     0.01, 3,   boost,   67.80,  93865.00,  640.36,   33.16,   59.01,   59.01, 18.0, 0.00, 9.02, 9.02
6, 3318, 5, null,     0.02, 3,   boost,   70.07,  93837.00,  642.84,   35.64,   59.83,   59.83, 18.0, 0.00, 9.02, 9.02
6, 3318, 5, null,     0.03, 3,   boost,   72.29,  93827.00,  643.73,   36.52,   60.67,   60.67, 18.0, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.04, 3,   boost,   74.45,  93814.00,  644.88,   37.67,   61.51,   61.51, 18.0, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.05, 3,   boost,   76.55,  93803.00,  645.86,   38.65,   62.36,   62.36, 18.0, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.06, 3,   boost,   78.58,  93788.00,  647.19,   39.98,   63.21,   63.21, 18.0, 0.00, 9.02, 9.02
6, 3318, 5, null,     0.07, 3,   boost,   80.51,  93776.00,  648.25,   41.04,   64.08,   64.08, 18.0, 0.00, 9.02, 9.02
6, 3318, 5, null,     0.08, 3,   boost,   82.35,  93765.00,  649.22,   42.02,   64.95,   64.95, 18.0, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.09, 3,   boost,   84.09,  93753.00,  650.29,   43.08,   65.83,   65.83, 18.0, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.10, 3,   boost,   85.71,  93747.00,  650.82,   43.61,   66.71,   66.71, 18.0, 0.00, 9.00, 9.03
6, 3318, 5, null,     0.11, 3,   boost,   87.23,  93749.00,  650.64,   43.43,   67.61,   67.61, 18.0, 0.00, 9.05, 9.03
6, 3318, 5, null,     0.12, 3,   boost,   88.63,  93727.00,  652.59,   45.38,   68.51,   68.51, 18.0, 0.00, 9.02, 9.08
6, 3318, 5, null,     0.13, 3,   boost,   89.90,  93726.00,  652.68,   45.47,   69.41,   69.41, 18.0, 0.00, 9.00, 9.03
6, 3318, 5, null,     0.14, 3,   boost,   91.06,  93715.00,  653.66,   46.45,   70.33,   70.33, 18.0, 0.00, 8.99, 9.02
6, 3318, 5, null,     0.15, 3,   boost,   92.11,  93701.00,  654.90,   47.69,   71.25,   71.25, 18.0, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.16, 3,   boost,   93.03,  93697.00,  655.25,   48.05,   72.18,   72.18, 18.0, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.17, 3,   boost,   93.86,  93702.00,  654.81,   47.60,   73.11,   73.11, 18.0, 0.00, 9.03, 9.02
6, 3318, 5, null,     0.18, 3,   boost,   94.57,  93692.00,  655.70,   48.49,   74.06,   74.06, 18.0, 0.00, 9.02, 9.02
6, 3318, 5, null,     0.19, 3,   boost,   95.20,  93683.00,  656.49,   49.29,   75.00,   75.00, 18.0, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.20, 3,   boost,   95.73,  93676.00,  657.12,   49.91,   75.96,   75.96, 18.0, 0.00, 9.00, 9.02
6, 3318, 5, null,     0.21, 3,   boost,   96.19,  93658.00,  658.71,   51.50,   76.92,   76.92, 18.0, 0.00, 9.03, 9.02
6, 3318, 5, null,     0.22, 3,   boost,   96.58,  93652.00,  659.24,   52.04,   77.89,   77.89, 18.0, 0.00, 9.00, 9.03
6, 3318, 5, null,     0.23, 3,   boost,   96.92,  93647.00,  659.69,   52.48,   78.86,   78.86, 18.0, 0.00, 9.03, 9.02
6, 3318, 5, null,     0.24, 3,   boost,   97.20,  93646.00,  659.78,   52.57,   79.84,   79.84, 18.0, 0.00, 9.00, 9.05
6, 3318, 5, null,     0.25, 3,   boost,   97.45,  93615.00,  662.53,   55.32,   80.82,   80.82, 17.9, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.26, 3,   boost,   97.67,  93615.00,  662.53,   55.32,   81.81,   81.81, 18.0, 0.00, 9.03, 9.03
6, 3318, 5, null,     0.27, 3,   boost,   97.86,  93610.00,  662.97,   55.76,   82.80,   82.80, 18.0, 0.00, 9.03, 9.00
6, 3318, 5, null,     0.28, 3,   boost,   98.04,  93605.00,  663.42,   56.21,   83.80,   83.80, 18.0, 0.00, 9.00, 9.02
6, 3318, 5, null,     0.29, 3,   boost,   98.22,  93596.00,  664.21,   57.01,   84.81,   84.81, 18.0, 0.00, 9.00, 9.02
6, 3318, 5, null,     0.30, 3,   boost,   98.39,  93587.00,  665.01,   57.81,   85.81,   85.81, 18.0, 0.00, 9.00, 9.03
6, 3318, 5, null,     0.31, 3,   boost,   98.57,  93582.00,  665.46,   58.25,   86.83,   86.83, 18.0, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.32, 3,   boost,   98.75,  93576.00,  665.99,   58.78,   87.85,   87.85, 18.0, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.33, 3,   boost,   98.95,  93561.00,  667.32,   60.11,   88.87,   88.87, 18.0, 0.00, 9.00, 9.05
6, 3318, 5, null,     0.34, 3,   boost,   99.15,  93552.00,  668.12,   60.91,   89.89,   89.89, 18.0, 0.00, 9.02, 9.07
6, 3318, 5, null,     0.35, 3,   boost,   99.37,  93552.00,  668.12,   60.91,   90.92,   90.92, 18.0, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.36, 3,   boost,   99.59,  93538.00,  669.36,   62.16,   91.95,   91.95, 17.9, 0.00, 9.02, 9.02
6, 3318, 5, null,     0.37, 3,   boost,   99.80,  93526.00,  670.43,   63.22,   92.98,   92.98, 17.9, 0.00, 9.02, 9.02
6, 3318, 5, null,     0.38, 3,   boost,   99.98,  93517.00,  671.23,   64.02,   94.02,   94.02, 17.9, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.39, 3,   boost,  100.14,  93503.00,  672.47,   65.27,   95.06,   95.06, 17.9, 0.00, 9.00, 9.02
6, 3318, 5, null,     0.40, 3,   boost,  100.27,  93490.00,  673.63,   66.42,   96.10,   96.10, 17.9, 0.00, 9.02, 9.05
6, 3318, 5, null,     0.41, 3,   boost,  100.38,  93477.00,  674.78,   67.58,   97.14,   97.14, 17.9, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.42, 3,   boost,  100.47,  93469.00,  675.49,   68.29,   98.19,   98.19, 17.9, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.43, 3,   boost,  100.53,  93453.00,  676.92,   69.71,   99.23,   99.23, 17.9, 0.00, 9.02, 9.00
6, 3318, 5, null,     0.44, 3,   boost,  100.57,  93447.00,  677.45,   70.24,  100.28,  100.28, 17.9, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.45, 3,   boost,  100.59,  93421.00,  679.76,   72.55,  101.33,  101.33, 17.9, 0.00, 8.99, 9.05
6, 3318, 5, null,     0.46, 3,   boost,  100.58,  93420.00,  679.85,   72.64,  102.38,  102.38, 17.9, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.47, 3,   boost,  100.55,  93398.00,  681.81,   74.60,  103.43,  103.43, 17.9, 0.00, 9.02, 9.02
6, 3318, 5, null,     0.48, 3,   boost,  100.49,  93387.00,  682.78,   75.58,  104.47,  104.47, 17.9, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.49, 3,   boost,  100.40,  93374.00,  683.94,   76.73,  105.52,  105.52, 17.9, 0.00, 9.02, 9.02
6, 3318, 5, null,     0.50, 3,   boost,  100.29,  93358.00,  685.36,   78.15,  106.57,  106.57, 17.9, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.51, 3,   boost,  100.16,  93352.00,  685.90,   78.69,  107.62,  107.62, 17.9, 0.00, 9.02, 9.02
6, 3318, 5, null,     0.52, 3,   boost,  100.00,  93340.00,  686.96,   79.76,  108.67,  108.67, 17.9, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.53, 3,   boost,   99.81,  93316.00,  689.10,   81.89,  109.71,  109.71, 17.9, 0.00, 9.00, 9.02
6, 3318, 5, null,     0.54, 3,   boost,   99.60,  93303.00,  690.26,   83.05,  110.75,  110.75, 17.9, 0.00, 9.02, 9.05
6, 3318, 5, null,     0.55, 3,   boost,   99.36,  93293.00,  691.15,   83.94,  111.80,  111.80, 17.9, 0.00, 9.00, 9.05
6, 3318, 5, null,     0.56, 3,   boost,   99.10,  93271.00,  693.10,   85.90,  112.83,  112.83, 17.9, 0.00, 9.03, 9.07
6, 3318, 5, null,     0.57, 3,   boost,   98.81,  93268.00,  693.37,   86.16,  113.87,  113.87, 17.9, 0.00, 9.02, 9.02
6, 3318, 5, null,     0.58, 3,   boost,   98.49,  93245.00,  695.42,   88.21,  114.90,  114.90, 17.9, 0.00, 9.02, 9.02
6, 3318, 5, null,     0.59, 3,   boost,   98.15,  93238.00,  696.04,   88.83,  115.94,  115.94, 17.9, 0.00, 9.03, 9.02
6, 3318, 5, null,     0.60, 3,   boost,   97.79,  93221.00,  697.56,   90.35,  116.96,  116.96, 17.9, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.61, 3,   boost,   97.40,  93208.00,  698.71,   91.51,  117.99,  117.99, 17.9, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.62, 3,   boost,   96.98,  93191.00,  700.23,   93.02,  119.00,  119.00, 17.9, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.63, 3,   boost,   96.54,  93178.00,  701.39,   94.18,  120.02,  120.02, 17.9, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.64, 3,   boost,   96.08,  93157.00,  703.26,   96.05,  121.03,  121.03, 17.9, 0.00, 9.02, 9.02
6, 3318, 5, null,     0.65, 3,   boost,   95.59,  93149.00,  703.97,   96.76,  122.03,  122.03, 17.9, 0.00, 9.02, 9.02
6, 3318, 5, null,     0.66, 3,   boost,   95.08,  93139.00,  704.86,   97.65,  123.03,  123.03, 17.9, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.67, 3,   boost,   94.54,  93115.00,  707.00,   99.79,  124.02,  124.02, 17.9, 0.00, 9.02, 9.08
6, 3318, 5, null,     0.68, 3,   boost,   93.98,  93114.00,  707.09,   99.88,  125.01,  125.01, 17.9, 0.00, 9.00, 9.02
6, 3318, 5, null,     0.69, 3,   boost,   93.40,  93089.00,  709.32,  102.11,  125.99,  125.99, 17.9, 0.00, 9.03, 9.02
6, 3318, 5, null,     0.70, 3,   boost,   92.79,  93073.00,  710.74,  103.54,  126.97,  126.97, 17.9, 0.00, 9.02, 9.02
6, 3318, 5, null,     0.71, 3,   boost,   92.16,  93054.00,  712.44,  105.23,  127.94,  127.94, 17.9, 0.00, 9.02, 9.02
6, 3318, 5, null,     0.72, 3,   boost,   91.51,  93038.00,  713.87,  106.66,  128.90,  128.90, 17.9, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.73, 3,   boost,   90.83,  93018.00,  715.65,  108.44,  129.85,  129.85, 17.9, 0.00, 9.02, 9.03
6, 3318, 5, null,     0.74, 3,   boost,   90.14,  93021.00,  715.38,  108.17,  130.80,  130.80, 17.9, 0.00, 9.00, 9.03
6, 3318, 5, null,     0.75, 3,   boost,   89.43,  92997.00,  717.52,  110.32,  131.74,  131.74, 17.9, 0.00, 9.00, 9.02
