PerfectFlite SLCF
Firmware: 1.0
Software: 1.16
Serial Number: 5241
Apogee: PWRLOSS
Ground Elevation: 1946' MSL
NumSamps: 2167
Flight Number: 10
Main Setting: 700' AGL
Apogee Delay: 0 Seconds
Drogue At: 16.85 Seconds
Main At: 93.35 Seconds
Max Drogue Current: 3 Amps
Max Main Current: 1 Amps

Time, Altitude, Velocity, Temperature, Voltage)
0.00, -1, 0, 58.82, 9.40
0.05, 2, 33, 58.80, 9.40
0.10, 1, -5, 58.82, 9.40
0.15, 1, 8, 58.82, 9.40
0.20, -1, -0, 58.82, 9.40
0.25, 1, -5, 58.82, 9.40
0.30, 1, -7, 58.82, 9.40
0.35, 1, -6, 58.80, 9.40
0.40, 3, 6, 58.82, 9.40
0.45, -14, 30, 58.80, 9.40
0.50, 0, 59, 58.80, 9.40
0.55, 7, 90, 58.82, 9.40
0.60, 15, 117, 58.82, 9.40
0.65, 20, 126, 58.82, 9.40
0.70, 32, 126, 58.82, 9.40
0.75, 33, 119, 58.82, 9.40
0.80, 43, 111, 58.80, 9.40
0.85, 41, 111, 58.82, 9.40
0.90, 45, 118, 58.82, 9.40
0.95, 55, 131, 58.80, 9.40
1.00, 64, 150, 58.82, 9.40
1.05, 71, 172, 58.80, 9.40
1.10, 79, 195, 58.82, 9.40
1.15, 89, 222, 58.82, 9.40
1.20, 100, 246, 58.82, 9.40
1.25, 119, 264, 58.82, 9.40
1.30, 135, 273, 58.82, 9.40
1.35, 150, 271, 58.82, 9.40
1.40, 161, 263, 58.82, 9.40
1.45, 173, 256, 58.82, 9.40
1.50, 183, 257, 58.82, 9.40
1.55, 195, 268, 58.82, 9.40
1.60, 209, 290, 58.82, 9.40
1.65, 224, 317, 58.82, 9.40
1.70, 243, 345, 58.80, 9.40
1.75, 264, 369, 58.82, 9.40
1.80, 282, 388, 58.82, 9.40
1.85, 304, 402, 58.82, 9.40
1.90, 323, 414, 58.82, 9.40
1.95, 345, 427, 58.82, 9.40
2.00, 365, 440, 58.82, 9.40
2.05, 389, 456, 58.82, 9.40
2.10, 413, 472, 58.82, 9.40
2.15, 437, 488, 58.82, 9.40
2.20, 462, 501, 58.80, 9.40
2.25, 489, 512, 58.80, 9.40
2.30, 514, 521, 58.82, 9.40
2.35, 543, 531, 58.82, 9.40
2.40, 569, 544, 58.82, 9.40
2.45, 593, 563, 58.80, 9.40
2.50, 619, 586, 58.82, 9.40
2.55, 655, 609, 58.78, 9.40
2.60, 690, 628, 58.80, 9.40
2.65, 722, 641, 58.80, 9.40
2.70, 751, 648, 58.80, 9.40
2.75, 785, 649, 58.82, 9.40
2.80, 818, 648, 58.80, 9.40
2.85, 851, 645, 58.78, 9.40
2.90, 884, 641, 58.78, 9.40
2.95, 915, 635, 58.78, 9.40
3.00, 945, 629, 58.78, 9.40
3.05, 977, 624, 58.78, 9.40
3.10, 1008, 620, 58.78, 9.40
3.15, 1039, 617, 58.78, 9.40
3.20, 1069, 613, 58.78, 9.40
3.25, 1100, 610, 58.78, 9.40
3.30, 1131, 607, 58.78, 9.40
3.35, 1160, 605, 58.78, 9.40
3.40, 1190, 603, 58.78, 9.40
3.45, 1220, 600, 58.78, 9.40
3.50, 1251, 597, 58.78, 9.40
3.55, 1281, 593, 58.78, 9.40
3.60, 1311, 590, 58.78, 9.40
3.65, 1338, 588, 58.78, 9.40
3.70, 1366, 590, 58.78, 9.40
3.75, 1397, 593, 58.78, 9.40
3.80, 1428, 595, 58.78, 9.40
3.85, 1459, 597, 58.77, 9.40
3.90, 1486, 596, 58.78, 9.40
3.95, 1518, 591, 58.78, 9.40
4.00, 1548, 584, 58.77, 9.40
4.05, 1575, 576, 58.77, 9.40
4.10, 1605, 566, 58.77, 9.40
4.15, 1632, 558, 58.78, 9.40
4.20, 1659, 551, 58.77, 9.40
4.25, 1685, 544, 58.77, 9.40
4.30, 1714, 538, 58.77, 9.40
4.35, 1741, 533, 58.77, 9.40
4.40, 1766, 526, 58.77, 9.40
4.45, 1792, 520, 58.77, 9.40
4.50, 1817, 514, 58.77, 9.40
4.55, 1845, 510, 58.77, 9.40
4.60, 1868, 508, 58.77, 9.40
4.65, 1892, 509, 58.78, 9.40
4.70, 1917, 509, 58.78, 9.40
4.75, 1946, 509, 58.77, 9.40
4.80, 1972, 508, 58.75, 9.40
4.85, 1996, 505, 58.77, 9.40
4.90, 2020, 501, 58.77, 9.40
4.95, 2044, 498, 58.78, 9.40
5.00, 2070, 496, 58.77, 9.40
5.05, 2096, 493, 58.75, 9.40
5.10, 2120, 491, 58.77, 9.40
5.15, 2144, 487, 58.77, 9.40
5.20, 2167, 484, 58.77, 9.40
5.25, 2192, 480, 58.75, 9.40
5.30, 2216, 476, 58.77, 9.40
5.35, 2240, 471, 58.75, 9.40
5.40, 2263, 465, 58.75, 9.40
5.45, 2287, 459, 58.75, 9.40
5.50, 2308, 453, 58.75, 9.40
5.55, 2330, 449, 58.77, 9.40
5.60, 2352, 447, 58.77, 9.40
5.65, 2376, 445, 58.75, 9.40
5.70, 2398, 443, 58.77, 9.40
5.75, 2419, 441, 58.75, 9.40
5.80, 2441, 440, 58.75, 9.40
5.85, 2463, 440, 58.75, 9.40
5.90, 2485, 441, 58.75, 9.40
5.95, 2507, 441, 58.77, 9.40
6.00, 2530, 440, 58.75, 9.40
6.05, 2552, 438, 58.75, 9.40
6.10, 2573, 434, 58.75, 9.40
6.15, 2595, 431, 58.75, 9.40
6.20, 2616, 428, 58.75, 9.40
6.25, 2638, 425, 58.75, 9.40
6.30, 2657, 423, 58.77, 9.40
6.35, 2679, 422, 58.75, 9.40
6.40, 2702, 419, 58.75, 9.40
6.45, 2722, 417, 58.75, 9.40
6.50, 2741, 413, 58.75, 9.40
6.55, 2763, 408, 58.75, 9.40
6.60, 2783, 402, 58.75, 9.40
6.65, 2804, 396, 58.75, 9.40
6.70, 2822, 390, 58.75, 9.40
6.75, 2841, 386, 58.75, 9.40
6.80, 2859, 384, 58.75, 9.40
6.85, 2879, 384, 58.75, 9.40
6.90, 2898, 385, 58.75, 9.40
6.95, 2919, 385, 58.73, 9.40
7.00, 2937, 384, 58.75, 9.40
7.05, 2957, 382, 58.75, 9.40
7.10, 2975, 379, 58.75, 9.40
7.15, 2994, 377, 58.73, 9.40
7.20, 3013, 374, 58.75, 9.40
7.25, 3032, 372, 58.75, 9.40
7.30, 3049, 369, 58.75, 9.40
7.35, 3069, 365, 58.75, 9.40
7.40, 3087, 361, 58.75, 9.40
7.45, 3104, 358, 58.75, 9.40
7.50, 3122, 355, 58.75, 9.40
7.55, 3139, 353, 58.75, 9.40
7.60, 3157, 352, 58.75, 9.40
7.65, 3174, 352, 58.75, 9.40
7.70, 3192, 353, 58.75, 9.40
7.75, 3210, 352, 58.75, 9.40
7.80, 3228, 349, 58.75, 9.40
7.85, 3245, 345, 58.75, 9.40
7.90, 3262, 340, 58.73, 9.40
7.95, 3280, 335, 58.75, 9.40
8.00, 3294, 331, 58.75, 9.40
8.05, 3310, 329, 58.75, 9.40
8.10, 3329, 328, 58.75, 9.40
8.15, 3344, 328, 58.75, 9.40
8.20, 3359, 327, 58.75, 9.40
8.25, 3377, 324, 58.73, 9.40
8.30, 3395, 321, 58.71, 9.40
8.35, 3409, 317, 58.73, 9.40
8.40, 3423, 314, 58.75, 9.40
8.45, 3439, 312, 58.75, 9.40
8.50, 3456, 310, 58.75, 9.40
8.55, 3471, 308, 58.75, 9.40
8.60, 3487, 305, 58.75, 9.40
8.65, 3502, 302, 58.75, 9.40
8.70, 3515, 300, 58.75, 9.40
8.75, 3531, 297, 58.75, 9.40
8.80, 3546, 295, 58.75, 9.40
8.85, 3561, 295, 58.75, 9.40
8.90, 3574, 293, 58.75, 9.40
8.95, 3591, 292, 58.73, 9.40
9.00, 3603, 292, 58.75, 9.40
9.05, 3619, 290, 58.73, 9.40
9.10, 3634, 288, 58.73, 9.40
9.15, 3647, 284, 58.71, 9.40
9.20, 3663, 280, 58.71, 9.40
9.25, 3676, 275, 58.71, 9.40
9.30, 3688, 272, 58.71, 9.40
9.35, 3701, 269, 58.75, 9.40
9.40, 3716, 268, 58.73, 9.40
9.45, 3730, 267, 58.71, 9.40
9.50, 3742, 265, 58.73, 9.40
9.55, 3755, 264, 58.73, 9.40
9.60, 3769, 262, 58.73, 9.40
9.65, 3781, 262, 58.73, 9.40
9.70, 3794, 261, 58.73, 9.40
9.75, 3808, 259, 58.75, 9.40
9.80, 3821, 256, 58.73, 9.40
9.85, 3834, 251, 58.73, 9.40
9.90, 3846, 247, 58.73, 9.40
9.95, 3857, 244, 58.75, 9.40
10.00, 3868, 243, 58.73, 9.40
10.05, 3882, 243, 58.73, 9.40
10.10, 3894, 243, 58.73, 9.40
10.15, 3907, 242, 58.73, 9.40
10.20, 3918, 240, 58.73, 9.40
10.25, 3929, 238, 58.75, 9.40
10.30, 3943, 236, 58.71, 9.40
10.35, 3953, 234, 58.75, 9.40
10.40, 3965, 233, 58.73, 9.40
10.45, 3977, 231, 58.71, 9.40
10.50, 3988, 230, 58.73, 9.40
10.55, 4000, 227, 58.73, 9.40
10.60, 4011, 224, 58.73, 9.40
10.65, 4022, 220, 58.71, 9.40
10.70, 4033, 217, 58.73, 9.40
10.75, 4044, 215, 58.71, 9.40
10.80, 4053, 214, 58.73, 9.40
10.85, 4064, 214, 58.71, 9.40
10.90, 4075, 215, 58.73, 9.40
10.95, 4087, 215, 58.71, 9.40
11.00, 4097, 213, 58.71, 9.40
11.05, 4108, 209, 58.73, 9.40
11.10, 4118, 205, 58.71, 9.40
11.15, 4128, 200, 58.71, 9.40
11.20, 4137, 197, 58.73, 9.40
11.25, 4147, 194, 58.73, 9.40
11.30, 4157, 193, 58.71, 9.40
11.35, 4166, 192, 58.75, 9.40
11.40, 4176, 191, 58.73, 9.40
11.45, 4186, 189, 58.73, 9.40
11.50, 4194, 187, 58.71, 9.40
11.55, 4205, 185, 58.71, 9.40
11.60, 4213, 184, 58.75, 9.40
11.65, 4222, 182, 58.71, 9.40
