#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,accel_speed,baro_speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 3318, 6, null,    -0.14, 3,   boost,   32.64,  98718.00,  219.31,   24.12,   42.98,   42.98, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,    -0.13, 3,   boost,   34.36,  98715.00,  219.56,   24.37,   43.62,   43.62, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,    -0.12, 3,   boost,   36.15,  98704.00,  220.50,   25.31,   44.28,   44.28, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,    -0.11, 3,   boost,   37.99,  98704.00,  220.50,   25.31,   44.94,   44.94, 32.9, 0.00, 9.40, 9.41
6, 3318, 6, null,    -0.10, 3,   boost,   39.89,  98687.00,  221.94,   26.75,   45.61,   45.61, 32.9, 0.00, 9.41, 9.43
6, 3318, 6, null,    -0.09, 3,   boost,   41.85,  98672.00,  223.22,   28.03,   46.28,   46.28, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,    -0.08, 3,   boost,   43.86,  98672.00,  223.22,   28.03,   46.97,   46.97, 32.9, 0.00, 9.41, 9.44
6, 3318, 6, null,    -0.07, 3,   boost,   45.91,  98672.00,  223.22,   28.03,   47.66,   47.66, 32.9, 0.00, 9.43, 9.43
6, 3318, 6, null,    -0.06, 3,   boost,   48.01,  98664.00,  223.90,   28.71,   48.36,   48.36, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,    -0.05, 3,   boost,   50.14,  98654.00,  224.75,   29.56,   49.07,   49.07, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,    -0.04, 3,   boost,   52.30,  98642.00,  225.77,   30.58,   49.79,   49.79, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,    -0.03, 3,   boost,   54.48,  98646.00,  225.43,   30.24,   50.51,   50.51, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,    -0.02, 3,   boost,   56.67,  98634.00,  226.45,   31.26,   51.24,   51.24, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,    -0.01, 3,   boost,   58.86,  98625.00,  227.22,   32.03,   51.98,   51.98, 32.9, 0.00, 9.40, 9.41
6, 3318, 6, null,     0.00, 3,   boost,   61.04,  98621.00,  227.56,   32.37,   52.73,   52.73, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,     0.00, 3,   boost,   61.04,  98621.00,  227.56,   32.37,   52.73,   52.73, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,     0.00, 3,   boost,   61.04,  98621.00,  227.56,   32.37,   52.73,   52.73, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,     0.00, 3,   boost,   61.04,  98621.00,  227.56,   32.37,   52.73,   52.73, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,     0.00, 3,   boost,   61.04,  98621.00,  227.56,   32.37,   52.73,   52.73, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,     0.00, 3,   boost,   61.04,  98621.00,  227.56,   32.37,   52.73,   52.73, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,     0.00, 3,   boost,   61.04,  98621.00,  227.56,   32.37,   52.73,   52.73, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,     0.00, 3,   boost,   61.04,  98621.00,  227.56,   32.37,   52.73,   52.73, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,     0.00, 3,   boost,   61.04,  98621.00,  227.56,   32.37,   52.73,   52.73, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,     0.00, 3,   boost,   61.04,  98621.00,  227.56,   32.37,   52.73,   52.73, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,     0.00, 3,   boost,   61.04,  98621.00,  227.56,   32.37,   52.73,   52.73, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,     0.00, 3,   boost,   61.04,  98621.00,  227.56,   32.37,   52.73,   52.73, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,     0.00, 3,   boost,   61.04,  98621.00,  227.56,   32.37,   52.73,   52.73, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,     0.00, 3,   boost,   61.04,  98621.00,  227.56,   32.37,   52.73,   52.73, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,     0.00, 3,   boost,   61.04,  98621.00,  227.56,   32.37,   52.73,   52.73, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,     0.00, 3,   boost,   61.04,  98621.00,  227.56,   32.37,   52.73,   52.73, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,     0.00, 3,   boost,   61.04,  98621.00,  227.56,   32.37,   52.73,   52.73, 32.9, 0.00, 9.41, 9.41
6, 3318, 6, null,     0.01, 3,   boost,   63.21,  98602.00,  229.18,   33.98,   53.49,   53.49, 32.9, 0.00, 9.43, 9.43
6, 3318, 6, null,     0.02, 3,   boost,   65.35,  98598.00,  229.52,   34.32,   54.25,   54.25, 32.9, 0.00, 9.43, 9.43
