PerfectFlite SLCF				
Firmware: 1.0				
Software: 1.16				
Serial Number: 5241				
Apogee: 4823' AGL				
Ground Elevation: 605' MSL				
NumSamps: 2432				
Flight Number: 12				
Main Setting: 700' AGL				
Apogee Delay: 0 Seconds				
Drogue At: 17.50 Seconds				
Main At: 85.90 Seconds				
Max Drogue Current: 5 Amps				
Max Main Current: 0 Amps				
Comments: 				
				
				
Data: (Time	 Altitude	 Velocity	 Temperature (F)	 Voltage)
0	0	0	86.5	9.4
0.05	0	7	86.49	9.4
0.1	1	1	86.49	9.4
0.15	1	4	86.49	9.4
0.2	0	10	86.49	9.4
0.25	1	14	86.49	9.4
0.3	2	20	86.49	9.4
0.35	3	24	86.49	9.4
0.4	9	29	86.49	9.4
0.45	5	38	86.49	9.4
0.5	6	48	86.49	9.4
0.55	12	61	86.54	9.4
0.6	15	77	86.49	9.4
0.65	19	94	86.49	9.4
0.7	26	110	86.49	9.4
0.75	32	125	86.49	9.4
0.8	38	140	86.49	9.4
0.85	46	153	86.5	9.4
0.9	56	166	86.49	9.4
0.95	63	178	86.49	9.4
1	73	188	86.49	9.4
1.05	85	198	86.5	9.4
1.1	94	207	86.49	9.4
1.15	103	216	86.49	9.4
1.2	116	225	86.49	9.4
1.25	128	237	86.49	9.4
1.3	140	249	86.49	9.4
1.35	152	265	86.49	9.4
1.4	165	284	86.49	9.4
1.45	181	304	86.49	9.4
1.5	198	320	86.49	9.4
1.55	216	332	86.5	9.4
1.6	234	336	86.49	9.4
1.65	253	334	86.49	9.4
1.7	268	332	86.5	9.4
1.75	280	334	86.5	9.4
1.8	298	342	86.49	9.4
1.85	315	357	86.5	9.4
1.9	333	373	86.54	9.4
1.95	357	387	86.5	9.4
2	378	397	86.5	9.4
2.05	395	403	86.5	9.4
2.1	414	403	86.5	9.4
2.15	436	402	86.54	9.4
2.2	460	404	86.54	9.4
2.25	480	413	86.54	9.4
2.3	491	436	86.5	9.4
2.35	513	474	86.54	9.4
2.4	537	523	86.5	9.4
2.45	576	576	86.54	9.4
2.5	606	625	86.54	9.4
2.55	639	662	86.54	9.4
2.6	673	687	86.54	9.4
2.65	711	701	86.5	9.4
2.7	749	706	86.54	9.4
2.75	784	705	86.54	9.4
2.8	816	703	86.54	9.4
2.85	850	696	86.54	9.4
2.9	890	687	86.54	9.4
2.95	921	675	86.54	9.4
3	956	659	86.54	9.4
3.05	987	642	86.54	9.4
3.1	1018	626	86.54	9.4
3.15	1048	612	86.54	9.4
3.2	1077	604	86.56	9.4
3.25	1106	601	86.54	9.4
3.3	1137	599	86.54	9.4
3.35	1168	599	86.54	9.4
3.4	1196	598	86.56	9.4
3.45	1228	595	86.54	9.4
3.5	1257	590	86.58	9.4
3.55	1286	584	86.54	9.4
3.6	1315	576	86.56	9.4
3.65	1344	569	86.56	9.4
3.7	1372	563	86.56	9.4
3.75	1397	558	86.56	9.4
3.8	1427	555	86.54	9.4
3.85	1454	554	86.54	9.4
3.9	1482	551	86.54	9.4
3.95	1511	548	86.54	9.4
4	1536	546	86.54	9.4
4.05	1563	542	86.56	9.4
4.1	1591	538	86.56	9.4
4.15	1618	535	86.58	9.4
4.2	1645	531	86.54	9.4
4.25	1670	527	86.54	9.4
4.3	1695	525	86.56	9.4
4.35	1722	523	86.56	9.4
4.4	1751	522	86.54	9.4
