Time	Altitude	Temperature	Voltage
0	0	86.5F	9.4
0.05	0	86.5F	9.4
0.1	1	86.5F	9.4
0.15	1	86.5F	9.4
0.2	0	86.5F	9.4
0.25	1	86.5F	9.4
0.3	2	86.5F	9.4
0.35	3	86.5F	9.4
0.4	9	86.5F	9.4
0.45	5	86.5F	9.4
0.5	6	86.5F	9.4
0.55	12	86.5F	9.4
0.6	15	86.5F	9.4
0.65	19	86.5F	9.4
0.7	26	86.5F	9.4
0.75	32	86.5F	9.4
0.8	38	86.5F	9.4
0.85	46	86.5F	9.4
0.9	56	86.5F	9.4
0.95	63	86.5F	9.4
1	73	86.5F	9.4
1.05	85	86.5F	9.4
1.1	94	86.5F	9.4
1.15	103	86.5F	9.4
1.2	116	86.5F	9.4
1.25	128	86.5F	9.4
1.3	140	86.5F	9.4
1.35	152	86.5F	9.4
1.4	165	86.5F	9.4
1.45	181	86.5F	9.4
1.5	198	86.5F	9.4
1.55	216	86.5F	9.4
1.6	234	86.5F	9.4
1.65	253	86.5F	9.4
1.7	268	86.5F	9.4
1.75	280	86.5F	9.4
1.8	298	86.5F	9.4
1.85	315	86.5F	9.4
1.9	333	86.5F	9.4
1.95	357	86.5F	9.4
2	378	86.5F	9.4
2.05	395	86.5F	9.4
2.1	414	86.5F	9.4
2.15	436	86.5F	9.4
2.2	460	86.5F	9.4
2.25	480	86.5F	9.4
2.3	491	86.5F	9.4
2.35	513	86.5F	9.4
2.4	537	86.5F	9.4
2.45	576	86.5F	9.4
2.5	606	86.5F	9.4
2.55	639	86.5F	9.4
2.6	673	86.5F	9.4
2.65	711	86.5F	9.4
2.7	749	86.5F	9.4
2.75	784	86.5F	9.4
2.8	816	86.5F	9.4
2.85	850	86.5F	9.4
2.9	890	86.5F	9.4
2.95	921	86.5F	9.4
3	956	86.5F	9.4
3.05	987	86.5F	9.4
3.1	1018	86.5F	9.4
3.15	1048	86.5F	9.4
3.2	1077	86.6F	9.4
3.25	1106	86.5F	9.4
3.3	1137	86.5F	9.4
3.35	1168	86.5F	9.4
3.4	1196	86.6F	9.4
3.45	1228	86.5F	9.4
3.5	1257	86.6F	9.4
3.55	1286	86.5F	9.4
3.6	1315	86.6F	9.4
3.65	1344	86.6F	9.4
3.7	1372	86.6F	9.4
3.75	1397	86.6F	9.4
3.8	1427	86.5F	9.4
3.85	1454	86.5F	9.4
3.9	1482	86.5F	9.4
3.95	1511	86.5F	9.4
4	1536	86.5F	9.4
4.05	1563	86.6F	9.4
4.1	1591	86.6F	9.4
4.15	1618	86.6F	9.4
4.2	1645	86.5F	9.4
4.25	1670	86.5F	9.4
4.3	1695	86.6F	9.4
4.35	1722	86.6F	9.4
4.4	1751	86.5F	9.4
4.45	1774	86.6F	9.4
4.5	1800	86.6F	9.4
4.55	1825	86.6F	9.4
4.6	1853	86.5F	9.4
4.65	1882	86.6F	9.4
4.7	1902	86.5F	9.4
4.75	1925	86.6F	9.4
4.8	1951	86.6F	9.4
4.85	1976	86.6F	9.4
4.9	2000	86.6F	9.4
4.95	2024	86.6F	9.4
5	2047	86.6F	9.4
5.05	2071	86.6F	9.4
5.1	2092	86.6F	9.4
5.15	2119	86.6F	9.4
5.2	2144	86.5F	9.4
5.25	2167	86.6F	9.4
5.3	2189	86.5F	9.4
5.35	2211	86.6F	9.4
5.4	2235	86.5F	9.4
5.45	2258	86.5F	9.4
5.5	2282	86.6F	9.4
5.55	2304	86.6F	9.4
5.6	2326	86.5F	9.4
5.65	2348	86.6F	9.4
5.7	2371	86.5F	9.4
5.75	2392	86.6F	9.4
5.8	2415	86.5F	9.4
5.85	2437	86.6F	9.4
5.9	2456	86.5F	9.4
5.95	2479	86.5F	9.4
6	2501	86.5F	9.4
6.05	2525	86.5F	9.4
6.1	2545	86.6F	9.4
6.15	2564	86.6F	9.4
6.2	2586	86.5F	9.4
6.25	2607	86.5F	9.4
6.3	2629	86.5F	9.4
6.35	2649	86.5F	9.4
6.4	2670	86.5F	9.4
6.45	2689	86.5F	9.4
6.5	2710	86.5F	9.4
6.55	2729	86.6F	9.4
6.6	2749	86.5F	9.4
6.65	2769	86.5F	9.4
6.7	2790	86.5F	9.4
6.75	2809	86.5F	9.4
6.8	2829	86.5F	9.4
6.85	2848	86.5F	9.4
6.9	2868	86.5F	9.4
6.95	2889	86.5F	9.4
7	2906	86.5F	9.4
7.05	2924	86.5F	9.4
7.1	2945	86.5F	9.4
7.15	2962	86.5F	9.4
7.2	2982	86.5F	9.4
7.25	3002	86.5F	9.4
7.3	3018	86.5F	9.4
7.35	3036	86.5F	9.4
