Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s^2),Drag coefficient
0,0,0,-9.7648,2.2725
1.5e-4,0,0,-9.701,2.2725
3.5e-4,0,0,-9.628,2.2725
5.5e-4,0,0,-9.555,2.2725
7.5e-4,0,0,-9.482,2.2725
9.5e-4,0,0,-9.409,2.2725
0.00115,0,0,-9.3361,2.2725
0.00135,0,0,-9.2631,2.2725
0.00155,0,0,-9.1901,2.2725
0.00175,0,0,-9.1171,2.2725
0.00195,0,0,-9.0442,2.2725
0.00215,0,0,-8.9712,2.2725
0.00235,0,0,-8.8982,2.2725
0.00255,0,0,-8.8252,2.2725
0.00275,0,0,-8.7522,2.2725
0.00295,0,0,-8.6793,2.2725
0.00315,0,0,-8.6063,2.2725
0.00335,0,0,-8.5333,2.2725
0.00355,0,0,-8.3144,2.2725
0.00375,0,0,-8.2414,2.2725
0.00395,0,0,-8.1684,2.2725
0.00415,0,0,-8.0954,2.2725
0.00435,0,0,-8.0225,2.2725
0.00455,0,0,-7.9495,2.2725
0.00475,0,0,-7.8765,2.2725
0.00495,0,0,-7.8035,2.2725
0.00515,0,0,-7.7305,2.2725
0.00535,0,0,-7.6576,2.2725
0.00555,0,0,-7.5846,2.2725
0.00575,0,0,-7.5116,2.2725
0.00595,0,0,-7.4386,2.2725
0.00615,0,0,-7.3656,2.2725
0.00635,0,0,-7.2927,2.2725
0.00655,0,0,-7.2197,2.2725
0.00675,0,0,-7.1467,2.2725
0.00695,0,0,-7.0737,2.2725
0.00715,0,0,-7.0007,2.2725
0.00735,0,0,-6.9278,2.2725
0.00755,0,0,-6.8548,2.2725
0.00775,0,0,-6.7818,2.2725
0.00795,0,0,-6.7088,2.2725
0.00815,0,0,-6.6358,2.2725
0.00835,0,0,-6.5629,2.2725
0.00855,0,0,-6.4899,2.2725
0.00875,0,0,-6.4169,2.2725
0.00895,0,0,-6.3439,2.2725
0.00915,0,0,-6.2709,2.2725
0.00935,0,0,-6.198,2.2725
0.00955,0,0,-6.125,2.2725
0.00975,0,0,-6.052,2.2725
0.00995,0,0,-5.979,2.2725
0.01015,0,0,-5.906,2.2725
0.01035,0,0,-5.8331,2.2725
0.01055,0,0,-5.7601,2.2725
0.01075,0,0,-5.6871,2.2725
0.01095,0,0,-5.6141,2.2725
0.01115,0,0,-5.5411,2.2725
0.01135,0,0,-5.4681,2.2725
0.01155,0,0,-5.3952,2.2725
0.01175,0,0,-5.3222,2.2725
0.01195,0,0,-5.2492,2.2725
0.01215,0,0,-5.1762,2.2725
0.01235,0,0,-5.1032,2.2725
0.01255,0,0,-5.0302,2.2725
0.01275,0,0,-4.9573,2.2725
0.01295,0,0,-4.8843,2.2725
0.01315,0,0,-4.8113,2.2725
0.01335,0,0,-4.7383,2.2725
0.01355,0,0,-4.6653,2.2725
0.01375,0,0,-4.5923,2.2725
0.01395,0,0,-4.5194,2.2725
0.01415,0,0,-4.4464,2.2725
0.01435,0,0,-4.3734,2.2725
0.01455,0,0,-4.3004,2.2725
0.01475,0,0,-4.2274,2.2725
0.01495,0,0,-4.1544,2.2725
0.01515,0,0,-4.0815,2.2725
0.01535,0,0,-4.0085,2.2725
0.01555,0,0,-3.9355,2.2725
0.01575,0,0,-3.8625,2.2725
0.01595,0,0,-3.7895,2.2725
0.01615,0,0,-3.7165,2.2725
0.01635,0,0,-3.6436,2.2725
0.01655,0,0,-3.5706,2.2725
0.01675,0,0,-3.4976,2.2725
0.01695,0,0,-3.4246,2.2725
0.01715,0,0,-3.3516,2.2725
0.01735,0,0,-3.2786,2.2725
0.01755,0,0,-3.2056,2.2725
0.01775,0,0,-3.1327,2.2725
0.01795,0,0,-3.0597,2.2725
0.01815,0,0,-2.9867,2.2725
0.01835,0,0,-2.9137,2.2725
