type	time	latitude	longitude	altitude (m)	speed (km/h)	course	sat	hdop	eos	name
T	2018-12-08 23:47:07	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		TAKEMEHOME DATA
T	2018-12-08 23:47:08	37.949115000	-120.794978333	88.0	0.3	74.7	6	1.1		
T	2018-12-08 23:47:09	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:10	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:11	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:12	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:13	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:14	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:15	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:16	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:17	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:18	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:19	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:20	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:21	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:22	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:23	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:24	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:25	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:26	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:27	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:28	37.949115000	-120.794978333	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:29	37.949115000	-120.794980000	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:30	37.949115000	-120.794980000	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:31	37.949115000	-120.794980000	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:32	37.949115000	-120.794980000	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:33	37.949115000	-120.794980000	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:34	37.949115000	-120.794980000	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:35	37.949115000	-120.794980000	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:36	37.949115000	-120.794980000	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:37	37.949115000	-120.794980000	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:38	37.949115000	-120.794980000	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:39	37.949115000	-120.794980000	88.0	0.0	74.7	6	1.1		
T	2018-12-08 23:47:40	37.949113333	-120.794983333	87.8	0.6	74.7	6	1.1		
T	2018-12-08 23:47:41	37.949116667	-120.794990000	87.9	2.5	308.3	6	1.1		
T	2018-12-08 23:47:42	37.949121667	-120.795001667	87.2	3.9	313.3	6	1.1		
T	2018-12-08 23:47:43	37.949130000	-120.795013333	86.7	4.8	324.6	6	1.1		
T	2018-12-08 23:47:44	37.949141667	-120.795025000	85.9	5.0	323.8	6	1.1		
T	2018-12-08 23:47:45	37.949151667	-120.795038333	85.3	5.2	317.5	6	1.1		
T	2018-12-08 23:47:46	37.949161667	-120.795053333	84.8	5.6	314.3	6	1.1		
T	2018-12-08 23:47:47	37.949173333	-120.795066667	84.8	5.7	316.9	6	1.1		
T	2018-12-08 23:47:48	37.949183333	-120.795080000	84.6	5.7	313.1	6	1.1		
T	2018-12-08 23:47:49	37.949193333	-120.795095000	84.3	5.6	313.3	6	1.1		
