#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,accel_speed,baro_speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 3318, 4, null,    -0.14, 3,   boost,   20.72, 101270.00,    4.58,   22.79,   30.69,   30.69, 20.1, 0.00, 9.17, 9.17
6, 3318, 4, null,    -0.13, 3,   boost,   21.79, 101269.00,    4.66,   22.88,   31.12,   31.12, 20.1, 0.00, 9.17, 9.16
6, 3318, 4, null,    -0.12, 3,   boost,   22.90, 101261.00,    5.33,   23.54,   31.54,   31.54, 20.1, 0.00, 9.17, 9.17
6, 3318, 4, null,    -0.11, 3,   boost,   24.05, 101251.00,    6.16,   24.38,   31.98,   31.98, 20.1, 0.00, 9.16, 9.17
6, 3318, 4, null,    -0.10, 3,   boost,   25.23, 101243.00,    6.83,   25.04,   32.41,   32.41, 20.1, 0.00, 9.16, 9.16
6, 3318, 4, null,    -0.09, 3,   boost,   26.44, 101236.00,    7.41,   25.63,   32.85,   32.85, 20.1, 0.00, 9.17, 9.17
6, 3318, 4, null,    -0.08, 3,   boost,   27.68, 101228.00,    8.08,   26.29,   33.30,   33.30, 20.1, 0.00, 9.16, 9.17
6, 3318, 4, null,    -0.07, 3,   boost,   28.95, 101223.00,    8.49,   26.71,   33.75,   33.75, 20.1, 0.00, 9.17, 9.17
6, 3318, 4, null,    -0.06, 3,   boost,   30.24, 101209.00,    9.66,   27.87,   34.20,   34.20, 20.1, 0.00, 9.17, 9.17
6, 3318, 4, null,    -0.05, 3,   boost,   31.55, 101211.00,    9.49,   27.71,   34.66,   34.66, 20.1, 0.00, 9.17, 9.17
6, 3318, 4, null,    -0.04, 3,   boost,   32.87, 101192.00,   11.08,   29.29,   35.12,   35.12, 20.1, 0.00, 9.17, 9.20
6, 3318, 4, null,    -0.03, 3,   boost,   34.20, 101189.00,   11.33,   29.54,   35.59,   35.59, 20.1, 0.00, 9.17, 9.17
6, 3318, 4, null,    -0.02, 3,   boost,   35.54, 101174.00,   12.58,   30.79,   36.06,   36.06, 20.1, 0.00, 9.17, 9.17
6, 3318, 4, null,    -0.01, 3,   boost,   36.87, 101165.00,   13.33,   31.54,   36.53,   36.53, 20.1, 0.00, 9.17, 9.17
6, 3318, 4, null,     0.00, 3,   boost,   38.19, 101159.00,   13.83,   32.04,   37.01,   37.01, 20.1, 0.00, 9.16, 9.16
6, 3318, 4, null,     0.01, 3,   boost,   39.49, 101150.00,   14.58,   32.79,   37.49,   37.49, 20.1, 0.00, 9.17, 9.17
6, 3318, 4, null,     0.02, 3,   boost,   40.77, 101131.00,   16.16,   34.38,   37.98,   37.98, 20.1, 0.00, 9.17, 9.17
6, 3318, 4, null,     0.03, 3,   boost,   42.03, 101128.00,   16.41,   34.63,   38.47,   38.47, 20.1, 0.00, 9.17, 9.17
6, 3318, 4, null,     0.04, 3,   boost,   43.24, 101114.00,   17.58,   35.79,   38.97,   38.97, 20.1, 0.00, 9.17, 9.17
6, 3318, 4, null,     0.05, 3,   boost,   44.42, 101116.00,   17.41,   35.63,   39.46,   39.46, 20.1, 0.00, 9.17, 9.17
6, 3318, 4, null,     0.06, 3,   boost,   45.54, 101103.00,   18.50,   36.71,   39.97,   39.97, 20.1, 0.00, 9.19, 9.17
6, 3318, 4, null,     0.07, 3,   boost,   46.61, 101098.00,   18.91,   37.13,   40.47,   40.47, 20.1, 0.00, 9.16, 9.19
6, 3318, 4, null,     0.08, 3,   boost,   47.62, 101083.00,   20.16,   38.38,   40.98,   40.98, 20.1, 0.00, 9.19, 9.19
6, 3318, 4, null,     0.09, 3,   boost,   48.57, 101081.00,   20.33,   38.55,   41.49,   41.49, 20.1, 0.00, 9.17, 9.16
6, 3318, 4, null,     0.10, 3,   boost,   49.45, 101063.00,   21.83,   40.05,   42.01,   42.01, 20.1, 0.00, 9.17, 9.17
6, 3318, 4, null,     0.11, 3,   boost,   50.26, 101068.00,   21.42,   39.63,   42.53,   42.53, 20.1, 0.00, 9.16, 9.17
6, 3318, 4, null,     0.12, 3,   boost,   51.00, 101052.00,   22.75,   40.96,   43.05,   43.05, 20.1, 0.00, 9.17, 9.19
6, 3318, 4, null,     0.13, 3,   boost,   51.67, 101052.00,   22.75,   40.96,   43.58,   43.58, 20.1, 0.00, 9.17, 9.20
6, 3318, 4, null,     0.14, 3,   boost,   52.26, 101034.00,   24.25,   42.47,   44.11,   44.11, 20.1, 0.00, 9.20, 9.19
6, 3318, 4, null,     0.15, 3,   boost,   52.78, 101032.00,   24.42,   42.63,   44.64,   44.64, 20.1, 0.00, 9.17, 9.17
6, 3318, 4, null,     0.16, 3,   boost,   53.24, 101029.00,   24.67,   42.88,   45.18,   45.18, 20.1, 0.00, 9.17, 9.17
