PerfectFlite SLCF
Firmware: 1.0
Software: 1.16
Serial Number: 5241
Apogee: 1794' AGL
Ground Elevation: -113' MSL
NumSamps: 1800
Flight Number: 9
Main Setting: 700' AGL
Apogee Delay: 0 Seconds
Drogue At: 10.85 Seconds
Main At: 34.25 Seconds
Max Drogue Current: 5 Amps
Max Main Current: 2 Amps

Time, Altitude, Velocity, Temperature (F), Voltage
0.00, 0, 0, 63.12, 8.70
0.05, 0, 0, 63.12, 8.70
0.10, 0, 0, 63.12, 8.70
0.15, 0, 0, 63.12, 8.70
0.20, 0, 11, 63.12, 8.70
0.25, 0, 23, 63.12, 8.70
0.30, -2, 36, 63.12, 8.70
0.35, 8, 49, 63.12, 8.70
0.40, 9, 62, 63.12, 8.70
0.45, 11, 71, 63.12, 8.70
0.50, 17, 77, 63.12, 8.70
0.55, 20, 84, 63.12, 8.70
0.60, 25, 92, 63.12, 8.70
0.65, 29, 102, 63.12, 8.70
0.70, 34, 115, 63.12, 8.70
0.75, 41, 129, 63.12, 8.70
0.80, 48, 144, 63.12, 8.70
0.85, 57, 160, 63.12, 8.70
0.90, 65, 175, 63.12, 8.70
0.95, 75, 189, 63.12, 8.70
1.00, 84, 202, 63.12, 8.70
1.05, 96, 212, 63.12, 8.70
1.10, 107, 217, 63.12, 8.70
1.15, 121, 218, 63.12, 8.70
1.20, 131, 213, 63.12, 8.70
1.25, 140, 205, 63.12, 8.70
1.30, 151, 198, 63.12, 8.70
1.35, 159, 194, 63.12, 8.70
1.40, 169, 196, 63.12, 8.70
1.45, 176, 204, 63.12, 8.70
1.50, 187, 215, 63.12, 8.70
1.55, 199, 224, 63.12, 8.70
1.60, 213, 225, 63.12, 8.70
1.65, 228, 214, 63.12, 8.70
1.70, 240, 197, 63.12, 8.70
1.75, 243, 181, 63.12, 8.70
1.80, 251, 179, 63.12, 8.70
1.85, 253, 198, 63.12, 8.70
1.90, 261, 238, 63.12, 8.70
1.95, 278, 288, 63.12, 8.70
2.00, 301, 336, 63.10, 8.70
2.05, 323, 369, 63.12, 8.70
2.10, 344, 381, 63.12, 8.70
2.15, 364, 377, 63.12, 8.70
2.20, 381, 365, 63.10, 8.70
2.25, 396, 354, 63.12, 8.70
2.30, 411, 346, 63.12, 8.70
2.35, 431, 344, 63.10, 8.70
2.40, 449, 346, 63.12, 8.70
2.45, 464, 348, 63.12, 8.70
2.50, 484, 347, 63.12, 8.70
2.55, 500, 344, 63.12, 8.70
2.60, 518, 338, 63.12, 8.70
2.65, 535, 330, 63.12, 8.70
2.70, 551, 324, 63.10, 8.70
2.75, 565, 318, 63.12, 8.70
2.80, 581, 313, 63.12, 8.70
2.85, 596, 310, 63.12, 8.70
2.90, 613, 306, 63.12, 8.70
2.95, 628, 302, 63.12, 8.70
3.00, 643, 296, 63.10, 8.70
3.05, 657, 291, 63.12, 8.70
3.10, 670, 286, 63.12, 8.70
3.15, 685, 284, 63.10, 8.70
3.20, 698, 283, 63.12, 8.70
3.25, 714, 282, 63.10, 8.70
3.30, 728, 280, 63.10, 8.70
3.35, 741, 277, 63.12, 8.70
3.40, 755, 273, 63.12, 8.70
3.45, 769, 271, 63.10, 8.70
3.50, 781, 272, 63.10, 8.70
3.55, 795, 274, 63.12, 8.70
3.60, 808, 279, 63.12, 8.70
3.65, 822, 282, 63.12, 8.70
3.70, 839, 282, 63.10, 8.70
3.75, 854, 279, 63.10, 8.70
3.80, 866, 272, 63.10, 8.70
3.85, 879, 263, 63.10, 8.70
3.90, 892, 255, 63.10, 8.70
3.95, 904, 251, 63.10, 8.70
4.00, 915, 249, 63.10, 8.70
4.05, 927, 251, 63.10, 8.70
4.10, 941, 253, 63.10, 8.70
4.15, 955, 254, 63.10, 8.70
4.20, 967, 253, 63.12, 8.70
4.25, 979, 250, 63.12, 8.70
4.30, 992, 246, 63.12, 8.70
4.35, 1004, 243, 63.10, 8.70
4.40, 1016, 240, 63.10, 8.70
4.45, 1027, 238, 63.10, 8.70
4.50, 1039, 238, 63.10, 8.70
4.55, 1051, 237, 63.10, 8.70
4.60, 1063, 236, 63.10, 8.70
4.65, 1075, 235, 63.10, 8.70
4.70, 1087, 231, 63.10, 8.70
4.75, 1099, 228, 63.10, 8.70
4.80, 1108, 224, 63.10, 8.70
4.85, 1120, 221, 63.10, 8.70
4.90, 1131, 219, 63.10, 8.70
4.95, 1142, 217, 63.10, 8.70
5.00, 1154, 215, 63.10, 8.70
5.05, 1162, 213, 63.10, 8.70
5.10, 1173, 212, 63.10, 8.70
5.15, 1185, 210, 63.10, 8.70
5.20, 1195, 207, 63.10, 8.70
