time,altitude,velocity,acceleration,thrust,drag
0,0,0,20.838,332.09,0
0.01,0.0010419,0.20838,107.11,1267.4,3.9392e-4
0.02,0.0084825,1.2798,109.67,1294.7,0.0099786
0.03,0.026767,2.3771,111.44,1313.1,0.030832
0.04,0.056112,3.4921,112.07,1319.2,0.062465
0.05,0.096638,4.6134,111.57,1313,0.10438
0.06,0.14835,5.7297,111.07,1306.8,0.15584
0.07,0.21121,6.8409,110.56,1300.6,0.21648
0.08,0.28515,7.9471,110.06,1294.4,0.28598
0.09,0.37012,9.0483,109.55,1288.2,0.36406
0.1,0.46608,10.144,109.04,1282,0.45049
0.11,0.57298,11.235,108.53,1275.8,0.54504
0.12,0.69076,12.321,108.02,1269.6,0.64764
0.13,0.81938,13.402,107.5,1263.5,0.75922
0.14,0.95877,14.477,106.99,1257.3,0.87863
0.15,1.1089,15.548,106.47,1251.1,1.0057
0.16,1.2697,16.613,105.96,1244.9,1.1403
0.17,1.4411,17.673,105.44,1238.7,1.2822
0.18,1.6231,18.728,104.92,1232.5,1.4313
0.19,1.8157,19.778,104.56,1228.1,1.5874
0.2,2.0187,20.824,105.19,1234.2,1.7507
0.21,2.2322,21.876,105.98,1242.1,1.9227
0.22,2.4562,22.937,106.77,1252,2.1039
0.235,2.8123,24.541,108.12,1264.6,2.3928
0.2575,3.3919,26.977,107.64,1254.6,2.8656
0.29125,4.3636,30.606,106.5,1245.3,3.6458
0.34125,6.0274,35.945,107.08,1248.5,4.9578
0.39125,7.9587,41.31,104.72,1221.2,6.4725
0.44125,10.155,46.557,104.65,1218.6,8.1962
0.49125,12.614,51.799,105.08,1221.5,10.161
0.54125,15.336,57.063,105.5,1224.4,12.35
0.59125,18.321,62.346,105.7,1225.3,14.77
0.64125,21.571,67.64,105.54,1222.5,17.418
0.69125,25.085,72.925,105.34,1219.7,20.288
0.74125,28.863,78.199,105.12,1216.9,23.382
0.79125,32.904,83.461,104.72,1212.4,26.699
0.84125,37.208,88.703,104.16,1206.6,30.235
0.89125,41.774,93.917,103.59,1200.9,33.985
0.94125,46.599,99.101,102.98,1195.1,37.948
0.99125,51.683,104.25,102.35,1189.4,42.122
1.0413,57.024,109.38,101.72,1183.8,46.506
1.0913,62.62,114.46,101.19,1179.5,51.099
1.1413,68.47,119.53,100.64,1175.4,55.906
1.1913,74.572,124.56,100.07,1171.3,60.927
1.2413,80.925,129.56,99.396,1166.4,66.161
1.2913,87.528,134.53,98.355,1158.1,71.603
1.3413,94.377,139.45,97.25,1149.4,77.23
1.3913,101.47,144.31,96.119,1140.7,83.037
1.4413,108.81,149.12,94.964,1132.1,89.018
1.4913,116.38,153.86,93.805,1123.6,95.169
1.5413,124.19,158.55,92.68,1115.8,101.48
1.5913,132.24,163.18,91.532,1107.9,107.96
1.6413,140.51,167.75,90.359,1100.1,114.6
1.6913,149.01,172.27,89.163,1092.3,121.4
1.7413,157.73,176.72,87.616,1081.3,128.34
1.7913,166.68,181.09,85.571,1065.6,135.39
1.8413,175.84,185.36,83.692,1051.8,142.51
1.8913,185.21,189.54,82.846,1048.3,149.7
1.9413,194.79,193.68,82.136,1046.2,157.05
1.9913,204.58,197.77,78.478,1015.9,164.56
2.0413,214.57,201.69,70.9,948.12,171.95
2.0913,224.74,205.22,60.442,852.58,178.79
2.1413,235.08,208.24,47.536,733.37,184.75
2.1913,245.55,210.61,37.379,639.96,189.49
2.2413,256.13,212.47,28.024,553.7,193.23
2.2913,266.78,213.87,21.248,491.41,196.02
2.3412,277.5,214.93,14.839,432.17,198.1
2.3912,288.27,215.67,8.6254,374.3,199.51
2.4412,299.06,216.1,2.5847,317.58,200.24
2.4912,309.87,216.23,-3.401,260.86,200.32
2.5412,320.68,216.06,-9.2819,204.58,199.76
2.5912,331.47,215.6,-14.305,155.86,198.55
2.6412,342.23,214.89,-18.986,109.9,196.82
2.6912,352.95,213.94,-22.9,70.733,194.61
2.7412,363.62,212.8,-25.513,43.468,192
2.7912,374.23,211.54,-26.344,32.794,189.15
2.8412,384.77,210.23,-26.982,23.87,186.24
2.8912,395.25,208.88,-27.618,14.947,183.31
2.9412,405.66,207.51,-28.25,6.0233,180.35
2.9912,416,206.11,-28.558,0.13664,177.36
3.0412,426.27,204.69,-28.257,0,174.38
3.0912,436.47,203.28,-27.949,0,171.47
3.1412,446.6,201.89,-27.647,0,168.62
3.1912,456.66,200.52,-27.352,0,165.83
3.2412,466.65,199.16,-27.064,0,163.11
3.2912,476.57,197.81,-26.782,0,160.45
3.3412,486.43,196.48,-26.506,0,157.84
3.3912,496.22,195.16,-26.236,0,155.3
3.4412,505.95,193.85,-25.973,0,152.81
3.4912,515.61,192.56,-25.715,0,150.37
3.5412,525.2,191.28,-25.463,0,147.99
3.5912,534.74,190.02,-25.216,0,145.66
3.6412,544.21,188.76,-24.974,0,143.37
3.6912,553.61,187.52,-24.736,0,141.13
3.7412,562.96,186.29,-24.504,0,138.94
3.7912,572.24,185.07,-24.276,0,136.79
3.8412,581.47,183.86,-24.053,0,134.68
3.8912,590.63,182.66,-23.834,0,132.61
3.9412,599.73,181.48,-23.619,0,130.59
3.9912,608.78,180.3,-23.409,0,128.6
4.0412,617.76,179.14,-23.202,0,126.65
4.0912,626.69,177.98,-23,0,124.74
4.1412,635.56,176.84,-22.801,0,122.86
4.1912,644.37,175.7,-22.606,0,121.02
4.2412,653.13,174.57,-22.414,0,119.21
4.2912,661.83,173.46,-22.226,0,117.43
4.3412,670.48,172.35,-22.041,0,115.69
4.3912,679.07,171.25,-21.86,0,113.98
4.4412,687.6,170.17,-21.682,0,112.3
4.4912,696.08,169.09,-21.507,0,110.65
4.5412,704.51,168.02,-21.336,0,109.03
4.5912,712.88,166.95,-21.167,0,107.43
4.6412,721.21,165.9,-21.001,0,105.87
4.6912,729.47,164.85,-20.838,0,104.33
4.7412,737.69,163.81,-20.678,0,102.82
4.7912,745.86,162.78,-20.521,0,101.33
4.8412,753.97,161.76,-20.366,0,99.87
4.8912,762.03,160.75,-20.214,0,98.434
4.9412,770.04,159.74,-20.064,0,97.022
4.9912,778.01,158.74,-19.917,0,95.633
5.0412,785.92,157.75,-19.773,0,94.267
5.0912,793.78,156.76,-19.63,0,92.924
5.1412,801.6,155.79,-19.49,0,91.602
5.1912,809.36,154.82,-19.353,0,90.302
5.2412,817.08,153.85,-19.217,0,89.023
5.2912,824.75,152.89,-19.084,0,87.765
5.3412,832.37,151.94,-18.953,0,86.526
5.3912,839.94,151,-18.824,0,85.307
5.4412,847.47,150.06,-18.696,0,84.108
5.4912,854.95,149.13,-18.571,0,82.927
5.5412,862.38,148.2,-18.448,0,81.764
5.5912,869.77,147.28,-18.327,0,80.62
5.6412,877.11,146.37,-18.208,0,79.493
5.6912,884.4,145.46,-18.09,0,78.383
5.7412,891.65,144.56,-17.974,0,77.29
5.7912,898.86,143.67,-17.86,0,76.214
5.8412,906.02,142.78,-17.748,0,75.154
5.8912,913.14,141.89,-17.637,0,74.11
5.9412,920.21,141.01,-17.529,0,73.081
5.9912,927.24,140.14,-17.421,0,72.068
6.0412,934.22,139.27,-17.315,0,71.07
6.0912,941.17,138.41,-17.211,0,70.086
6.1412,948.06,137.55,-17.109,0,69.117
6.1912,954.92,136.7,-17.007,0,68.161
6.2412,961.73,135.85,-16.908,0,67.22
6.2912,968.51,135,-16.809,0,66.292
6.3412,975.23,134.17,-16.713,0,65.378
6.3912,981.92,133.33,-16.617,0,64.476
6.4412,988.57,132.5,-16.523,0,63.588
6.4912,995.17,131.68,-16.43,0,62.712
6.5412,1001.7,130.86,-16.339,0,61.849
6.5912,1008.3,130.05,-16.249,0,60.999
6.6412,1014.7,129.24,-16.16,0,60.162
6.6912,1021.2,128.43,-16.073,0,59.336
6.7412,1027.6,127.63,-15.986,0,58.522
6.7912,1033.9,126.83,-15.901,0,57.718
6.8412,1040.3,126.04,-15.817,0,56.926
6.8912,1046.5,125.25,-15.735,0,56.145
6.9412,1052.8,124.47,-15.653,0,55.374
6.9912,1059,123.69,-15.572,0,54.613
7.0412,1065.2,122.91,-15.493,0,53.863
7.0912,1071.3,122.14,-15.414,0,53.123
7.1412,1077.4,121.37,-15.337,0,52.393
7.1912,1083.4,120.6,-15.261,0,51.672
7.2412,1089.4,119.84,-15.185,0,50.961
7.2912,1095.4,119.08,-15.111,0,50.259
7.3412,1101.3,118.33,-15.038,0,49.567
7.3912,1107.2,117.58,-14.965,0,48.884
7.4412,1113.1,116.83,-14.894,0,48.209
7.4912,1118.9,116.09,-14.824,0,47.544
7.5412,1124.7,115.35,-14.754,0,46.887
7.5912,1130.5,114.61,-14.685,0,46.238
7.6412,1136.2,113.88,-14.617,0,45.598
7.6912,1141.8,113.15,-14.551,0,44.966
7.7412,1147.5,112.43,-14.484,0,44.343
7.7912,1153.1,111.7,-14.419,0,43.727
7.8412,1158.7,110.99,-14.355,0,43.119
7.8912,1164.2,110.27,-14.291,0,42.519
7.9412,1169.7,109.56,-14.228,0,41.926
7.9912,1175.1,108.85,-14.167,0,41.341
8.0412,1180.6,108.14,-14.105,0,40.763
8.0912,1186,107.44,-14.045,0,40.193
8.1412,1191.3,106.73,-13.985,0,39.63
8.1912,1196.6,106.04,-13.926,0,39.073
8.2412,1201.9,105.34,-13.868,0,38.524
8.2912,1207.2,104.65,-13.811,0,37.982
8.3412,1212.4,103.96,-13.754,0,37.446
8.3912,1217.6,103.27,-13.698,0,36.917
8.4412,1222.7,102.59,-13.642,0,36.394
8.4912,1227.8,101.91,-13.588,0,35.878
8.5412,1232.9,101.23,-13.534,0,35.368
8.5912,1237.9,100.56,-13.48,0,34.864
8.6412,1243,99.885,-13.428,0,34.367
8.6912,1247.9,99.214,-13.376,0,33.876
8.7412,1252.9,98.547,-13.324,0,33.39
8.7912,1257.8,97.882,-13.273,0,32.911
8.8412,1262.7,97.22,-13.223,0,32.437
8.8912,1267.5,96.56,-13.174,0,31.969
8.9412,1272.3,95.902,-13.125,0,31.507
8.9912,1277.1,95.247,-13.076,0,31.05
9.0412,1281.8,94.595,-13.029,0,30.599
9.0912,1286.6,93.944,-12.981,0,30.154
9.1412,1291.2,93.296,-12.935,0,29.713
9.1912,1295.9,92.651,-12.889,0,29.278
9.2412,1300.5,92.008,-12.843,0,28.848
9.2912,1305.1,91.366,-12.798,0,28.423
9.3412,1309.6,90.728,-12.754,0,28.004
9.3912,1314.2,90.091,-12.71,0,27.589
9.4412,1318.7,89.457,-12.666,0,27.179
9.4913,1323.1,88.824,-12.623,0,26.775
9.5413,1327.5,88.194,-12.581,0,26.374
9.5913,1331.9,87.566,-12.539,0,25.979
9.6413,1336.3,86.94,-12.498,0,25.589
9.6913,1340.6,86.317,-12.457,0,25.203
9.7413,1344.9,85.695,-12.417,0,24.821
9.7913,1349.2,85.075,-12.377,0,24.444
