time,altitude,velocity,acceleration,thrust,drag
0,0,0,20.838,332.09,0
0.01,0.0010419,0.20838,107.11,1267.4,7.1047e-6
0.02,0.0084825,1.2798,109.67,1294.7,0.0015674
0.03,0.026767,2.3771,111.44,1313.1,0.0095286
0.04,0.056112,3.4921,112.07,1319.2,0.028577
0.05,0.096639,4.6135,111.57,1313,0.062208
0.06,0.14836,5.7298,111.07,1306.8,0.11241
0.07,0.21121,6.8411,110.57,1300.6,0.18036
0.08,0.28515,7.9473,110.06,1294.4,0.26655
0.09,0.37013,9.0485,109.55,1288.2,0.37092
0.1,0.46609,10.144,109.04,1282,0.49304
0.11,0.57299,11.235,108.52,1275.8,0.63226
0.12,0.69077,12.321,108,1269.6,0.78775
0.13,0.81939,13.402,107.48,1263.5,0.95864
0.14,0.95878,14.477,106.96,1257.3,1.144
0.15,1.1089,15.547,106.44,1251.1,1.3429
0.16,1.2697,16.612,105.92,1244.9,1.5546
0.17,1.4411,17.672,105.39,1238.7,1.778
0.18,1.6231,18.726,104.86,1232.5,2.0126
0.19,1.8156,19.775,104.5,1228.1,2.2575
0.2,2.0186,20.821,105.12,1234.2,2.5125
0.21,2.2321,21.872,105.9,1242.1,2.7796
0.22,2.4561,22.932,106.68,1252,3.059
0.235,2.8121,24.535,108.01,1264.6,3.502
0.2575,3.3915,26.969,107.52,1254.6,4.2116
0.29125,4.3628,30.593,106.34,1245.3,5.3427
0.34125,6.0257,35.922,106.86,1248.5,7.1449
0.39125,7.9556,41.275,104.47,1221.2,9.0879
0.44125,10.15,46.509,104.4,1218.6,11.099
0.49125,12.606,51.74,104.86,1221.5,13.135
0.54125,15.325,56.993,105.33,1224.4,15.219
0.59125,18.306,62.27,105.61,1225.3,17.369
0.64125,21.552,67.56,105.49,1222.5,19.603
0.69125,25.062,72.843,105.29,1219.7,21.961
0.74125,28.836,78.112,104.96,1216.9,24.519
0.79125,32.873,83.361,104.3,1212.4,27.391
0.84125,37.171,88.572,103.31,1206.6,30.702
0.89125,41.729,93.728,102.1,1200.9,34.546
0.94125,46.543,98.817,100.67,1195.1,38.888
0.99125,51.609,103.83,99.118,1189.8,43.582
1.0342,56.155,108.07,97.881,1185.3,47.759
1.0688,59.961,111.46,97.059,1182.2,51.158
1.0997,63.453,114.46,96.457,1179.7,54.17
1.1287,66.807,117.25,96.019,1177.4,56.955
1.1568,70.137,119.94,95.73,1175.1,59.618
1.1848,73.537,122.63,95.578,1172.7,62.248
1.2138,77.13,125.4,95.554,1170.2,64.954
1.2451,81.111,128.41,95.613,1166.9,67.913
1.2818,85.88,131.92,95.497,1159.7,71.484
1.3318,92.595,136.71,95.244,1151.1,76.725
1.3818,99.551,141.5,95.003,1142.4,82.546
1.4318,106.74,146.26,94.544,1134.3,88.871
1.4751,113.17,150.37,94.001,1127.8,94.521
1.5064,117.92,153.32,93.576,1122.9,98.584
1.5343,122.24,155.93,93.037,1118.6,102.15
1.5613,126.48,158.44,92.403,1114.4,105.54
1.589,130.91,161,91.645,1109.8,108.97
1.6195,135.85,163.78,90.683,1104.5,112.75
1.6572,142.09,167.19,89.298,1097.6,117.53
1.7072,150.56,171.63,87.197,1089.6,124.26
1.7572,159.25,175.96,84.571,1076.3,131.46
1.8072,168.15,180.16,81.865,1063.4,138.83
1.8394,174,182.8,80.704,1053.9,143.5
1.8688,179.41,185.17,80.076,1049.6,147.68
1.899,185.05,187.6,79.901,1048.2,151.94
1.9341,191.68,190.4,79.864,1046.5,156.91
1.9841,201.3,194.4,77.837,1024.3,164.27
2.0341,211.12,198.3,71.224,957.82,171.85
2.0841,221.12,201.87,62.09,887.27,178.98
2.1201,228.43,204.16,54.339,799.53,183.53
2.1541,235.41,206.01,46.239,717.67,187.15
2.1935,243.55,207.8,37.671,635.89,190.62
2.2435,253.98,209.62,26.934,550.46,194.28
2.2935,264.5,210.95,19.758,488.77,197.14
2.3435,275.07,211.92,13.166,434.06,199.29
2.3858,284.06,212.49,8.5125,382.61,200.47
2.432,293.88,212.89,3.1477,328.05,201.15
2.482,304.53,213.05,-2.4858,271.32,201.31
2.532,315.18,212.93,-7.9393,214.66,200.92
2.582,325.82,212.54,-12.902,164.34,199.89
2.632,336.43,211.9,-17.605,118.38,198.22
2.682,347,211.02,-21.976,76.862,196.03
2.732,357.52,209.92,-25.138,47.131,193.47
2.782,367.99,208.66,-26.429,34.44,190.68
2.832,378.39,207.35,-27.143,25.516,187.79
2.882,388.72,206,-27.659,16.593,184.84
2.932,398.99,204.63,-28.051,7.6696,181.85
2.982,409.18,203.24,-28.24,0.57659,178.86
3.032,419.31,201.84,-27.826,0,175.89
3.082,429.37,200.46,-27.474,0,172.97
3.132,439.36,199.09,-27.245,0,170.09
3.182,449.28,197.73,-27.101,0,167.27
3.232,459.13,196.38,-26.983,0,164.54
3.282,468.92,195.04,-26.835,0,161.87
3.332,478.63,193.7,-26.611,0,159.26
3.382,488.29,192.38,-26.301,0,156.69
3.432,497.87,191.07,-25.933,0,154.18
3.482,507.39,189.78,-25.552,0,151.73
3.532,516.85,188.51,-25.199,0,149.34
3.582,526.24,187.26,-24.902,0,147
3.632,535.58,186.02,-24.669,0,144.7
3.682,544.85,184.79,-24.491,0,142.45
3.732,554.06,183.57,-24.345,0,140.24
3.782,563.2,182.36,-24.204,0,138.08
3.832,572.29,181.15,-24.043,0,135.97
3.882,581.32,179.96,-23.845,0,133.89
3.932,590.29,178.77,-23.61,0,131.85
3.982,599.2,177.6,-23.348,0,129.85
4.032,608.05,176.43,-23.078,0,127.89
4.082,616.84,175.29,-22.82,0,125.97
4.132,625.58,174.15,-22.588,0,124.09
4.182,634.26,173.03,-22.387,0,122.24
4.232,642.88,171.91,-22.217,0,120.43
4.282,651.45,170.81,-22.069,0,118.64
4.332,659.96,169.71,-21.932,0,116.89
4.382,668.42,168.61,-21.793,0,115.18
4.432,676.82,167.53,-21.643,0,113.49
4.482,685.17,166.45,-21.476,0,111.83
4.532,693.47,165.38,-21.292,0,110.21
4.582,701.71,164.32,-21.098,0,108.61
4.632,709.9,163.27,-20.9,0,107.03
4.682,718.04,162.23,-20.708,0,105.49
4.732,726.12,161.2,-20.528,0,103.97
4.782,734.16,160.18,-20.363,0,102.48
4.832,742.14,159.16,-20.215,0,101.02
4.882,750.07,158.15,-20.08,0,99.576
4.932,757.96,157.15,-19.954,0,98.159
4.982,765.79,156.16,-19.832,0,96.766
5.032,773.57,155.17,-19.708,0,95.396
5.082,781.31,154.19,-19.579,0,94.049
5.132,788.99,153.21,-19.442,0,92.723
5.182,796.63,152.24,-19.299,0,91.419
5.232,804.21,151.28,-19.151,0,90.136
5.282,811.76,150.33,-19.002,0,88.874
5.332,819.25,149.38,-18.856,0,87.632
5.382,826.69,148.44,-18.715,0,86.41
5.432,834.09,147.51,-18.582,0,85.207
5.482,841.44,146.59,-18.457,0,84.023
5.532,848.75,145.67,-18.34,0,82.857
5.582,856.01,144.75,-18.23,0,81.709
5.632,863.23,143.84,-18.123,0,80.579
5.682,870.4,142.94,-18.019,0,79.466
5.732,877.52,142.04,-17.914,0,78.371
5.782,884.6,141.15,-17.807,0,77.292
5.832,891.63,140.26,-17.698,0,76.23
5.882,898.63,139.38,-17.585,0,75.183
5.932,905.57,138.5,-17.471,0,74.152
5.982,912.48,137.63,-17.357,0,73.136
6.032,919.34,136.77,-17.243,0,72.136
6.082,926.15,135.91,-17.132,0,71.15
6.132,932.93,135.05,-17.025,0,70.179
6.182,939.66,134.2,-16.922,0,69.221
6.232,946.35,133.36,-16.823,0,68.278
6.282,952.99,132.52,-16.729,0,67.348
6.332,959.6,131.69,-16.638,0,66.432
6.382,966.16,130.86,-16.549,0,65.529
6.432,972.69,130.03,-16.462,0,64.639
6.482,979.17,129.21,-16.376,0,63.761
6.532,985.61,128.39,-16.289,0,62.896
6.582,992.01,127.58,-16.202,0,62.043
6.632,998.36,126.77,-16.114,0,61.202
6.682,1004.7,125.97,-16.025,0,60.374
6.732,1011,125.17,-15.936,0,59.558
6.782,1017.2,124.38,-15.848,0,58.754
6.832,1023.4,123.59,-15.76,0,57.961
6.882,1029.6,122.8,-15.674,0,57.178
6.932,1035.7,122.02,-15.59,0,56.407
6.982,1041.8,121.24,-15.509,0,55.645
7.032,1047.8,120.47,-15.429,0,54.894
7.082,1053.8,119.7,-15.353,0,54.153
7.132,1059.8,118.93,-15.278,0,53.422
7.182,1065.7,118.17,-15.205,0,52.701
7.232,1071.6,117.41,-15.134,0,51.989
7.282,1077.4,116.66,-15.064,0,51.287
7.332,1083.3,115.91,-14.994,0,50.594
7.382,1089,115.16,-14.924,0,49.91
7.432,1094.8,114.41,-14.855,0,49.235
7.482,1100.5,113.67,-14.785,0,48.57
7.532,1106.1,112.94,-14.716,0,47.912
7.582,1111.8,112.2,-14.646,0,47.264
7.632,1117.4,111.47,-14.578,0,46.623
7.682,1122.9,110.74,-14.509,0,45.991
7.732,1128.4,110.02,-14.442,0,45.367
7.782,1133.9,109.3,-14.375,0,44.751
7.832,1139.4,108.58,-14.31,0,44.143
7.882,1144.8,107.87,-14.246,0,43.543
7.932,1150.2,107.16,-14.183,0,42.951
7.982,1155.5,106.45,-14.122,0,42.366
8.032,1160.8,105.75,-14.062,0,41.788
8.082,1166.1,105.04,-14.003,0,41.218
8.132,1171.3,104.35,-13.946,0,40.655
8.182,1176.5,103.65,-13.889,0,40.098
8.232,1181.7,102.96,-13.833,0,39.549
8.282,1186.8,102.27,-13.778,0,39.007
8.332,1191.9,101.58,-13.723,0,38.472
8.382,1197,100.89,-13.668,0,37.943
8.432,1202,100.21,-13.614,0,37.421
8.482,1207,99.532,-13.56,0,36.905
8.532,1211.9,98.856,-13.506,0,36.396
8.582,1216.9,98.182,-13.452,0,35.893
8.632,1221.8,97.511,-13.399,0,35.396
8.682,1226.6,96.842,-13.347,0,34.905
8.732,1231.4,96.176,-13.295,0,34.42
8.782,1236.2,95.512,-13.244,0,33.941
8.832,1241,94.851,-13.193,0,33.468
8.882,1245.7,94.193,-13.144,0,33.001
8.932,1250.4,93.537,-13.095,0,32.54
8.982,1255.1,92.884,-13.047,0,32.084
9.032,1259.7,92.232,-12.999,0,31.634
9.082,1264.3,91.584,-12.953,0,31.189
9.132,1268.9,90.937,-12.907,0,30.749
9.182,1273.4,90.293,-12.863,0,30.315
9.232,1277.9,89.651,-12.818,0,29.886
9.282,1282.4,89.011,-12.775,0,29.462
9.332,1286.8,88.373,-12.731,0,29.044
9.382,1291.2,87.738,-12.689,0,28.63
9.432,1295.6,87.104,-12.646,0,28.221
9.482,1299.9,86.473,-12.604,0,27.818
9.532,1304.2,85.844,-12.563,0,27.419
9.582,1308.5,85.217,-12.521,0,27.025
9.632,1312.7,84.592,-12.48,0,26.635
9.682,1316.9,83.969,-12.44,0,26.251
9.732,1321.1,83.348,-12.4,0,25.87
9.782,1325.3,82.729,-12.36,0,25.495
9.832,1329.4,82.112,-12.32,0,25.124
9.882,1333.5,81.497,-12.281,0,24.757
9.932,1337.5,80.884,-12.242,0,24.395
9.982,1341.6,80.273,-12.204,0,24.037
10.032,1345.6,79.663,-12.167,0,23.683
10.082,1349.5,79.056,-12.13,0,23.334
10.132,1353.5,78.45,-12.093,0,22.988
10.182,1357.4,77.847,-12.057,0,22.647
10.232,1361.3,77.245,-12.021,0,22.31
10.282,1365.1,76.644,-11.986,0,21.977
10.332,1368.9,76.046,-11.952,0,21.648
10.382,1372.7,75.449,-11.918,0,21.322
10.432,1376.5,74.854,-11.884,0,21.001
10.482,1380.2,74.261,-11.851,0,20.684
10.532,1383.9,73.669,-11.818,0,20.37
10.582,1387.6,73.079,-11.786,0,20.06
10.632,1391.2,72.491,-11.754,0,19.753
10.682,1394.8,71.904,-11.722,0,19.451
10.732,1398.4,71.318,-11.691,0,19.152
10.782,1402,70.734,-11.66,0,18.856
10.832,1405.5,70.152,-11.629,0,18.565
10.882,1409,69.572,-11.599,0,18.276
10.932,1412.4,68.992,-11.569,0,17.991
10.982,1415.9,68.415,-11.539,0,17.71
11.032,1419.3,67.838,-11.51,0,17.432
11.082,1422.6,67.264,-11.481,0,17.157
11.132,1426,66.69,-11.452,0,16.886
11.182,1429.3,66.118,-11.423,0,16.617
11.232,1432.6,65.548,-11.395,0,16.352
11.282,1435.9,64.979,-11.367,0,16.091
11.332,1439.1,64.411,-11.339,0,15.832
11.382,1442.3,63.845,-11.312,0,15.577
11.432,1445.5,63.28,-11.285,0,15.325
11.482,1448.6,62.717,-11.258,0,15.076
11.532,1451.8,62.154,-11.232,0,14.829
11.582,1454.9,61.593,-11.206,0,14.586
11.632,1457.9,61.034,-11.18,0,14.346
11.682,1461,60.475,-11.155,0,14.109
